voucher_offer_id,voucher_slug,listing_id,partner_id,rf_partner_id,pro_id,offer_title,offer_subtitle,offer_type,offer_badge,offer_description,discount_type,discount_value,points_cost,claim_mode,urgency_mode,voucher_kind,qr_required,fallback_code_required,validity_days,redeem_window_text,is_vip_only,is_premium,is_active,priority_weight,cta_label,post_claim_note
voucher_rielt_phuket_kata_001_1,phuket-kata-001-voucher-1,rielt_phuket_kata_001,partner_phuket_seabreeze,rf_partner_phuket_seabreeze,pro_phuket_anton,Приветственный бонус к проживанию,Voucher-first старт без переписки,welcome_bonus,VIP-бонус,Voucher-first старт без переписки,bonus,1,0,free,scheduled,claimable,false,false,30,Использовать в течение 30 дней,true,false,true,99,Получить бонус,После claim партнёр и PRO получают уведомление.
voucher_rielt_phuket_kata_001_2,phuket-kata-001-voucher-2,rielt_phuket_kata_001,partner_phuket_seabreeze,rf_partner_phuket_seabreeze,pro_phuket_anton,Late checkout до 16:00,Для активного VIP,late_checkout,Спецпредложение,Для активного VIP,bonus,1,150,points,near_now,redeemable,true,true,3,Использовать при выезде,true,false,true,98,Получить VIP-бонус,"Claim создаёт структурированный сигнал для VIP, партнёра и PRO."
voucher_rielt_phuket_kata_001_3,phuket-kata-001-voucher-3,rielt_phuket_kata_001,partner_phuket_seabreeze,rf_partner_phuket_seabreeze,pro_phuket_anton,Premium offer для VIP,QR-ready use case,premium_upgrade,Premium,QR-ready use case,bonus,1,900,premium,on_site,redeemable,true,true,2,Показать QR на месте,true,true,true,97,Активировать премиум-оффер,Подходит для on-site сценария без обязательной переписки.
voucher_rielt_phuket_karon_002_1,phuket-karon-002-voucher-1,rielt_phuket_karon_002,partner_phuket_karonnest,rf_partner_phuket_karonnest,pro_phuket_anton,Приветственный бонус к проживанию,Voucher-first старт без переписки,welcome_bonus,VIP-бонус,Voucher-first старт без переписки,bonus,1,0,free,scheduled,claimable,false,false,30,Использовать в течение 30 дней,true,false,true,99,Получить бонус,После claim партнёр и PRO получают уведомление.
voucher_rielt_phuket_karon_002_2,phuket-karon-002-voucher-2,rielt_phuket_karon_002,partner_phuket_karonnest,rf_partner_phuket_karonnest,pro_phuket_anton,Late checkout до 16:00,Для активного VIP,late_checkout,Спецпредложение,Для активного VIP,bonus,1,150,points,near_now,redeemable,true,true,3,Использовать при выезде,true,false,true,98,Получить VIP-бонус,"Claim создаёт структурированный сигнал для VIP, партнёра и PRO."
voucher_rielt_phuket_rawai_003_1,phuket-rawai-003-voucher-1,rielt_phuket_rawai_003,partner_phuket_seabreeze,rf_partner_phuket_seabreeze,pro_phuket_anton,Приветственный бонус к проживанию,Voucher-first старт без переписки,welcome_bonus,VIP-бонус,Voucher-first старт без переписки,bonus,1,0,free,scheduled,claimable,false,false,30,Использовать в течение 30 дней,true,false,true,99,Получить бонус,После claim партнёр и PRO получают уведомление.
voucher_rielt_phuket_rawai_003_2,phuket-rawai-003-voucher-2,rielt_phuket_rawai_003,partner_phuket_seabreeze,rf_partner_phuket_seabreeze,pro_phuket_anton,Скидка на первый месяц,Для активного VIP,monthly_discount,Спецпредложение,Для активного VIP,percent,8,400,points,scheduled,redeemable,true,true,14,Активировать перед заселением,true,false,true,98,Получить VIP-бонус,"Claim создаёт структурированный сигнал для VIP, партнёра и PRO."
voucher_rielt_bkk_sathon_004_1,bkk-sathon-004-voucher-1,rielt_bkk_sathon_004,partner_bkk_riverside,rf_partner_bkk_riverside,pro_bangkok_maya,Приветственный бонус к проживанию,Voucher-first старт без переписки,welcome_bonus,VIP-бонус,Voucher-first старт без переписки,bonus,1,0,free,scheduled,claimable,false,false,30,Использовать в течение 30 дней,true,false,true,99,Получить бонус,После claim партнёр и PRO получают уведомление.
voucher_rielt_bkk_sathon_004_2,bkk-sathon-004-voucher-2,rielt_bkk_sathon_004,partner_bkk_riverside,rf_partner_bkk_riverside,pro_bangkok_maya,Скидка на первый месяц,Для активного VIP,monthly_discount,Спецпредложение,Для активного VIP,percent,8,400,points,scheduled,redeemable,true,true,14,Активировать перед заселением,true,false,true,98,Получить VIP-бонус,"Claim создаёт структурированный сигнал для VIP, партнёра и PRO."
voucher_rielt_bkk_ari_005_1,bkk-ari-005-voucher-1,rielt_bkk_ari_005,partner_bkk_nomadloft,rf_partner_bkk_nomadloft,pro_bangkok_maya,Приветственный бонус к проживанию,Voucher-first старт без переписки,welcome_bonus,VIP-бонус,Voucher-first старт без переписки,bonus,1,0,free,scheduled,claimable,false,false,30,Использовать в течение 30 дней,true,false,true,99,Получить бонус,После claim партнёр и PRO получают уведомление.
