actor_link_id,listing_id,actor_user_id,actor_role,created_at,revoked_at,deleted_at
actor_link_001,rielt_phuket_kata_001,user_pro_anton,owner,2026-02-05T12:00:00Z,,
actor_link_002,rielt_phuket_karon_002,user_pro_anton,owner,2026-02-06T12:00:00Z,,
actor_link_003,rielt_phuket_rawai_003,user_pro_anton,owner,2026-02-07T12:00:00Z,,
actor_link_004,rielt_bkk_sathon_004,user_pro_maya,owner,2026-02-08T12:00:00Z,,
actor_link_005,rielt_bkk_ari_005,user_pro_maya,owner,2026-02-09T12:00:00Z,,
actor_link_006,rielt_bkk_ari_006,user_pro_maya,owner,2026-02-10T12:00:00Z,,
actor_link_007,rielt_danang_myan_007,user_pro_ivan,owner,2026-02-11T12:00:00Z,,
actor_link_008,rielt_danang_myan_008,user_pro_ivan,owner,2026-02-12T12:00:00Z,,
actor_link_009,rielt_hcmc_d1_009,user_pro_linh,owner,2026-02-13T12:00:00Z,,
actor_link_010,rielt_hcmc_d1_010,user_pro_linh,owner,2026-02-14T12:00:00Z,,
actor_link_011,rielt_phuket_karon_011,user_pro_anton,owner,2026-02-15T12:00:00Z,,
actor_link_012,rielt_bkk_hidden_012,user_pro_maya,owner,2026-02-16T12:00:00Z,,
actor_link_013,rielt_phuket_bangtao_013,user_pro_elena,owner,2026-02-17T12:00:00Z,,
actor_link_014,rielt_phuket_bangtao_014,user_pro_elena,owner,2026-02-18T12:00:00Z,,
actor_link_015,rielt_phuket_surin_015,user_pro_elena,owner,2026-02-19T12:00:00Z,,
actor_link_016,rielt_bkk_phromphong_016,user_pro_maya,owner,2026-02-20T12:00:00Z,,
actor_link_017,rielt_bkk_phromphong_017,user_pro_maya,owner,2026-02-21T12:00:00Z,,
actor_link_018,rielt_bkk_ekkamai_018,user_pro_maya,owner,2026-02-22T12:00:00Z,,
actor_link_019,rielt_danang_haichau_019,user_pro_ivan,owner,2026-02-23T12:00:00Z,,
actor_link_020,rielt_danang_haichau_020,user_pro_ivan,owner,2026-02-24T12:00:00Z,,
actor_link_021,rielt_danang_sontra_021,user_pro_ivan,owner,2026-02-25T12:00:00Z,,
actor_link_022,rielt_hcmc_thaodien_022,user_pro_artem,owner,2026-02-26T12:00:00Z,,
actor_link_023,rielt_hcmc_thaodien_023,user_pro_artem,owner,2026-02-27T12:00:00Z,,
actor_link_024,rielt_hcmc_d3_024,user_pro_linh,owner,2026-02-28T12:00:00Z,,
