id,country_id,city_id,name,slug,type,place_kind,category,tags,description_short,lat,lng,address,website,phone,instagram,google_maps_url,price_level
tag-chocolate-hills,ph,tag,🏞️ Chocolate Hills,tag-chocolate-hills,nature,showplace,nature,"[""nature"",""hills"",""landscape""]","Уникальный карстовый ландшафт из более чем 1200 конусовидных холмов, меняющих цвет от зелёного к шоколадному в сухой сезон — главный природный символ Бохоля.",9.917,124.167,"Carmen, Bohol",,,,,
tag-philippine-tarsier-sanctuary,ph,tag,🐒 Philippine Tarsier Sanctuary,tag-philippine-tarsier-sanctuary,wildlife,showplace,wildlife,"[""wildlife"",""sanctuary"",""nature""]","Природный заповедник, посвящённый сохранению филиппинских долгопятов — одних из самых маленьких приматов в мире.",9.6908,123.9527,"Corella, Bohol",,,,,
tag-loboc-river-cruise,ph,tag,🚤 Loboc River Cruise,tag-loboc-river-cruise,river,showplace,river,"[""river"",""culture"",""cruise""]",Живописный речной круиз по тропической реке Лобок с обедом и живой фольклорной музыкой на борту.,9.6383,124.0348,"Loboc River, Bohol",,,,,
tag-panglao-island-alona-beach,ph,tag,🏖️ Panglao Island – Alona Beach,tag-panglao-island-alona-beach,beach,showplace,beach,"[""beach"",""diving"",""resort""]","Главный курортный район Бохоля с белым песком, дайвингом и активной вечерней жизнью.",9.5481,123.7723,"Alona Beach, Panglao Island",,,,,
tag-bohol-bee-farm,ph,tag,🍯 Bohol Bee Farm,tag-bohol-bee-farm,eco,business,eco,"[""eco"",""restaurant"",""farm""]","Эко-ферма и ресторан, продвигающие органическую кухню, локальные продукты и устойчивый туризм.",9.61,123.828,"Dauis, Panglao Island",,,,,
tag-gerarda-s-family-restaurant,ph,tag,🍽️ Gerarda’s Family Restaurant,tag-gerarda-s-family-restaurant,local,business,local,"[""local"",""restaurant"",""family""]",Семейный ресторан традиционной кухни Бохоля в историческом доме в Тагбиларане.,9.6556,123.8558,"Tagbilaran City, Bohol",,,,,
boracay-white-beach,ph,boracay,🏖️ White Beach,boracay-white-beach,beach,showplace,beach,"[""beach"",""sea"",""sunset"",""resort""]","Главный пляж Боракая — почти 4 километра ослепительно белого песка и бирюзовой воды, считающийся одним из лучших пляжей мира.",11.9616,121.9242,"White Beach, Boracay Island",,,,,
boracay-puka-shell-beach,ph,boracay,🏖️ Puka Shell Beach,boracay-puka-shell-beach,beach,showplace,beach,"[""beach"",""nature"",""quiet""]","Уединённый пляж на севере Боракая, известный ракушечным песком и отсутствием массовой застройки.",11.9949,121.9124,"Yapak, Boracay Island",,,,,
boracay-mount-luho-viewpoint,ph,boracay,⛰️ Mount Luho Viewpoint,boracay-mount-luho-viewpoint,viewpoint,showplace,viewpoint,"[""viewpoint"",""panorama"",""nature""]",Самая высокая точка Боракая с панорамным обзором всего острова и окружающих морей.,11.9733,121.9263,"Mount Luho, Boracay",,,,,
boracay-ariel-s-point,ph,boracay,🤿 Ariel’s Point,boracay-ariel-s-point,adventure,showplace,adventure,"[""adventure"",""cliffdiving"",""sea""]",Экстремальная локация для клифф-дайвинга с оборудованными платформами для прыжков в кристально чистое море.,11.865,121.8774,Off-shore Boracay,,,,,
boracay-jonah-s-fruit-shake,ph,boracay,🥤 Jonah’s Fruit Shake,boracay-jonah-s-fruit-shake,cafe,business,cafe,"[""cafe"",""smoothie"",""beach""]","Культовое кафе Боракая, прославившееся густыми фруктовыми шейками из свежих тропических фруктов.",11.9682,121.9187,"Station 1, White Beach",,,,,
boracay-real-coffee-tea-cafe,ph,boracay,☕ Real Coffee & Tea Café,boracay-real-coffee-tea-cafe,cafe,business,cafe,"[""cafe"",""bakery"",""breakfast""]","Уютная пекарня-кафе, знаменитая каламанси-маффинами и домашней атмосферой.",11.961,121.924,"Station 2, Boracay",,,,,
ceb-basilica-minore-del-santo-nino-magellan-s-cross,ph,ceb,🏛️ Basilica Minore del Santo Niño & Magellan’s Cross,ceb-basilica-minore-del-santo-nino-magellan-s-cross,heritage,showplace,heritage,"[""heritage"",""religion"",""christianity"",""history""]","*(Базилика дель Санто-Ниньо и Крест Магеллана)* Духовное сердце Себу и всей страны — старейший христианский комплекс Филиппин, связанный с прибытием Магеллана и началом христианства в регионе.",10.2939,123.9014,"Santo Niño Basilica Complex, Cebu City",,,,,
ceb-fort-san-pedro,ph,ceb,🏰 Fort San Pedro *,ceb-fort-san-pedro,fort,showplace,fort,"[""fort"",""history"",""spanish""]","Самый старый испанский форт Филиппин — компактная крепость XVIII века на берегу моря, охранявшая Себу от пиратов и вторжений.",10.2922,123.9058,"Fort San Pedro, Cebu City",,,,,
ceb-cebu-taoist-temple,ph,ceb,🏯 Cebu Taoist Temple *,ceb-cebu-taoist-temple,temple,showplace,temple,"[""temple"",""taoism"",""viewpoint""]","Яркий даосский храм на холмах Beverly Hills с панорамными видами на город и море, построенный китайской общиной Себу.",10.334,123.8877,"Beverly Hills Subdivision, Cebu City",,,,,
ceb-kawasan-falls,ph,ceb,🌿 Kawasan Falls *,ceb-kawasan-falls,waterfall,showplace,waterfall,"[""waterfall"",""nature"",""adventure""]",Знаменитые бирюзовые водопады юга Себу — одно из лучших природных мест Филиппин для купания и каньонинга.,9.802,123.374,"Badian, Cebu",,,,,
ceb-house-of-lechon,ph,ceb,🍖 House of Lechon,ceb-house-of-lechon,food,business,food,"[""food"",""lechon"",""restaurant""]","Лучшее место в Себу, чтобы попробовать знаменитый себуанский лечон — сочного поросёнка с хрустящей корочкой.",10.3178,123.9017,Cebu City,,,,,
ceb-larsian-bbq,ph,ceb,🍢 Larsian BBQ,ceb-larsian-bbq,streetfood,business,streetfood,"[""streetfood"",""bbq"",""local""]","Легендарный ночной BBQ-маркет Себу — уличная еда, дым углей и настоящий городской вайб.",10.3044,123.9001,"Fuente Osmeña, Cebu City",,,,,
dumaguete-rizal-boulevard,ph,dumaguete,🌊 Rizal Boulevard,dumaguete-rizal-boulevard,promenade,showplace,promenade,"[""promenade"",""sea"",""citylife""]","Главная набережная Думагете — спокойная морская аллея с видом на пролив и остров Сикихор, центр городской жизни и общения.",9.3072,123.3053,"Rizal Boulevard, Dumaguete",,,,,
dumaguete-silliman-university,ph,dumaguete,🎓 Silliman University,dumaguete-silliman-university,university,showplace,university,"[""university"",""heritage"",""culture""]",Старейший американский университет в Азии с зелёным кампусом и колониальной архитектурой.,9.3114,123.3075,"Silliman Ave, Dumaguete",,,,,
dumaguete-apo-island,ph,dumaguete,🐢 Apo Island,dumaguete-apo-island,island,showplace,island,"[""island"",""snorkeling"",""wildlife""]","Морской заповедник мирового уровня, известный сноркелингом с морскими черепахами и дайвингом.",9.0797,123.2706,"Apo Island, Negros Oriental",,,,,
dumaguete-casaroro-falls,ph,dumaguete,💦 Casaroro Falls,dumaguete-casaroro-falls,waterfall,showplace,waterfall,"[""waterfall"",""nature"",""trekking""]","Высокий и узкий водопад в тропическом ущелье, популярный маршрут для трекинга.",9.2785,123.2052,"Valencia, Negros Oriental",,,,,
dumaguete-sans-rival-cakes-pastries,ph,dumaguete,🍰 Sans Rival Cakes & Pastries,dumaguete-sans-rival-cakes-pastries,dessert,business,dessert,"[""dessert"",""cafe"",""bakery""]","Легендарная кондитерская Думагете, прославившая город десертами *silvanas* и *Sans Rival*.",9.308,123.3096,"Rizal Blvd, Dumaguete",,,,,
dumaguete-lab-as-seafood-restaurant,ph,dumaguete,🦐 Lab-as Seafood Restaurant,dumaguete-lab-as-seafood-restaurant,seafood,business,seafood,"[""seafood"",""restaurant"",""local""]",Популярный ресторан морепродуктов у моря с выбором свежего улова.,9.323,123.311,Dumaguete North Rd,,,,,
mnl-intramuros,ph,mnl,🏛️ Intramuros,mnl-intramuros,heritage,showplace,heritage,"[""heritage"",""unesco"",""history"",""fort""]","Исторический центр Манилы — укреплённый испанский город XVI века с бастионами, церквями и музеями, отражающий колониальное прошлое Филиппин.",14.5915,120.9736,"Intramuros, Manila",https://intramuros.gov.ph,,,,
mnl-rizal-park,ph,mnl,🌳 Rizal Park,mnl-rizal-park,park,showplace,park,"[""park"",""monument"",""history""]","Главный национальный парк Филиппин и символ независимости страны, расположенный в центре Манилы.",14.5825,120.9783,"Roxas Blvd, Manila",,,,,
mnl-binondo,ph,mnl,🏮 Binondo,mnl-binondo,chinatown,showplace,chinatown,"[""chinatown"",""food"",""heritage""]",Старейший Чайнатаун в мире — торговый и гастрономический центр Манилы с богатой историей.,14.6,120.974,"Binondo, Manila",,,,,
mnl-the-aristocrat-restaurant,ph,mnl,🍗 The Aristocrat Restaurant,mnl-the-aristocrat-restaurant,restaurant,business,restaurant,"[""restaurant"",""filipino"",""heritage""]","Легендарный семейный ресторан филиппинской кухни, работающий с 1936 года на бульваре Рохас.",14.5681,120.9839,"Roxas Blvd, Manila",https://aristocrat.com.ph,,,,
