id,country_id,city_id,name,slug,type,place_kind,category,tags,description_short,lat,lng,address,website,phone,instagram,google_maps_url,price_level
bali-tanah-lot-temple,id,bali,🛕 Tanah Lot Temple,bali-tanah-lot-temple,temple,showplace,temple,"[""temple"",""ocean"",""sunset""]","Один из самых известных храмов Бали, расположенный на скале в океане и особенно впечатляющий на закате.",-8.6211,115.0865,"Tanah Lot, Bali",—,,,,
bali-ubud-monkey-forest,id,bali,🐒 Ubud Monkey Forest,bali-ubud-monkey-forest,forest,showplace,forest,"[""forest"",""wildlife"",""culture""]","Священный лес в центре Убуда с храмами и сотнями макак, свободно гуляющих по территории.",-8.5194,115.2599,"Monkey Forest Rd, Ubud",—,,,,
bali-tegallalang-rice-terraces,id,bali,🌾 Tegallalang Rice Terraces,bali-tegallalang-rice-terraces,rice-terrace,showplace,rice-terrace,"[""rice-terrace"",""nature"",""landscape""]",Знаменитые рисовые террасы недалеко от Убуда — символ балийского сельского ландшафта.,-8.4356,115.2797,"Tegallalang, Bali",—,,,,
bali-uluwatu-temple,id,bali,🏔️ Uluwatu Temple,bali-uluwatu-temple,temple,showplace,temple,"[""temple"",""cliff"",""sunset""]","Храм на утёсе над океаном в Улувату, известный закатами и традиционными танцами кечак.",-8.8291,115.0849,"Uluwatu, Bali",—,,,,
bali-mount-batur,id,bali,🌋 Mount Batur,bali-mount-batur,volcano,showplace,volcano,"[""volcano"",""hiking"",""sunrise""]","Активный вулкан, популярный для ночных восхождений ради рассвета.",-8.242,115.375,"Kintamani, Bali",—,,,,
bali-tirta-empul-temple,id,bali,💧 Tirta Empul Temple,bali-tirta-empul-temple,temple,showplace,temple,"[""temple"",""ritual"",""water""]","Священный водный храм, известный ритуалами очищения в источниках.",-8.4157,115.3156,"Tampaksiring, Bali",—,,,,
bali-potato-head-beach-club,id,bali,🏖️ Potato Head Beach Club,bali-potato-head-beach-club,beach-club,business,beach-club,"[""beach-club"",""lifestyle"",""sunset""]","Знаменитый бич-клуб в Семиньяке с бассейнами, диджеями и видом на океан.",-8.6705,115.1381,"Seminyak, Bali",—,,,,
bali-finns-beach-club,id,bali,🏝️ FINNS Beach Club,bali-finns-beach-club,beach-club,business,beach-club,"[""beach-club"",""party"",""lifestyle""]","Огромный пляжный клуб в Чангу с бассейнами, вечеринками и международной кухней.",-8.663,115.1384,"Canggu, Bali",—,,,,
bali-the-rock-bar-bali,id,bali,🪨 The Rock Bar Bali,bali-the-rock-bar-bali,bar,business,bar,"[""bar"",""cliff"",""sunset""]",Знаменитый бар на скале в Улувату с панорамным видом на океан.,-8.7892,115.1623,"Uluwatu, Bali",—,,,,
bali-clear-cafe-ubud,id,bali,☕ Clear Café Ubud,bali-clear-cafe-ubud,cafe,business,cafe,"[""cafe"",""healthy-food"",""wellness""]","Популярное кафе здоровой кухни в Убуде с вегетарианскими и веганскими блюдами, смузи и уютной атмосферой.",-8.5074,115.2641,"Ubud, Bali",—,,,,
bali-locavore-restaurant,id,bali,🍽️ Locavore Restaurant,bali-locavore-restaurant,fine-dining,business,fine-dining,"[""fine-dining"",""restaurant"",""local""]","Один из самых известных ресторанов высокой кухни на Бали, работающий с локальными ингредиентами.",-8.5089,115.2626,"Ubud, Bali",—,,,,
bali-single-fin-bali,id,bali,🏄 Single Fin Bali,bali-single-fin-bali,bar,business,bar,"[""bar"",""surf"",""sunset""]",Легендарный бар для серферов в Улувату с видом на океан и вечеринки на закате.,-8.8286,115.0867,"Uluwatu, Bali",—,,,,
jkt-national-monument,id,jkt,🗼 National Monument,jkt-national-monument,monument,showplace,monument,"[""monument"",""history"",""landmark""]","Главный национальный монумент Индонезии, символ независимости страны, расположенный в самом центре Джакарты.",-6.1754,106.8272,"Merdeka Square, Jakarta",—,,,,
jkt-kota-tua-jakarta,id,jkt,🏛 Kota Tua Jakarta,jkt-kota-tua-jakarta,old-town,showplace,old-town,"[""old-town"",""colonial"",""heritage""]",Исторический район с голландской колониальной архитектурой и музеями.,-6.1352,106.8133,"Kota Tua, Jakarta",—,,,,
jkt-istiqlal-mosque,id,jkt,🕌 Istiqlal Mosque,jkt-istiqlal-mosque,mosque,showplace,mosque,"[""mosque"",""religion"",""architecture""]","Крупнейшая мечеть Юго-Восточной Азии, символ религиозной терпимости и современной Индонезии.",-6.1702,106.8319,Central Jakarta,—,,,,
jkt-jakarta-cathedral,id,jkt,⛪ Jakarta Cathedral,jkt-jakarta-cathedral,cathedral,showplace,cathedral,"[""cathedral"",""religion"",""colonial""]","Неоготический католический собор, расположенный напротив мечети Istiqlal.",-6.17,106.8326,Central Jakarta,—,,,,
jkt-ancol-dreamland,id,jkt,🎢 Ancol Dreamland,jkt-ancol-dreamland,amusement,showplace,amusement,"[""amusement"",""beach"",""family""]","Крупный прибрежный развлекательный комплекс с парками, пляжами и океанариумом.",-6.1236,106.8365,"Ancol, Jakarta",—,,,,
jkt-taman-mini-indonesia-indah,id,jkt,🌳 Taman Mini Indonesia Indah,jkt-taman-mini-indonesia-indah,culture,showplace,culture,"[""culture"",""park"",""heritage""]","Этнографический парк, представляющий культуру и архитектуру всех регионов Индонезии.",-6.3027,106.8955,East Jakarta,—,,,,
jkt-skye-bar-restaurant,id,jkt,🌃 Skye Bar & Restaurant,jkt-skye-bar-restaurant,rooftop,business,rooftop,"[""rooftop"",""bar"",""skyline""]",Руфтоп-бар и ресторан в центре Джакарты с панорамным видом на небоскрёбы.,-6.2,106.819,Central Jakarta,—,,,,
jkt-cafe-batavia,id,jkt,☕ Café Batavia,jkt-cafe-batavia,cafe,business,cafe,"[""cafe"",""colonial"",""heritage""]",Историческое кафе-ресторан в колониальном здании на площади Fatahillah.,-6.1359,106.8135,"Fatahillah Square, Jakarta",—,,,,
jkt-nasi-goreng-kambing-kebon-sirih,id,jkt,🍜 Nasi Goreng Kambing Kebon Sirih,jkt-nasi-goreng-kambing-kebon-sirih,street-food,business,street-food,"[""street-food"",""nasi-goreng"",""local""]",Легендарная уличная точка с одним из лучших nasi goreng kambing в Джакарте.,-6.1817,106.8303,"Kebon Sirih, Jakarta",—,,,,
jkt-plataran-menteng,id,jkt,🍽 Plataran Menteng,jkt-plataran-menteng,fine-dining,business,fine-dining,"[""fine-dining"",""indonesian-food"",""heritage""]",Ресторан высокой индонезийской кухни в отреставрированном колониальном особняке в районе Ментенг.,-6.193,106.8293,"Menteng, Jakarta",—,,,,
jkt-union-cafe,id,jkt,☕ Union Café,jkt-union-cafe,cafe,business,cafe,"[""cafe"",""dessert"",""urban""]",Популярное кафе и ресторан с европейско-азиатской кухней и культовыми десертами.,-6.2244,106.8039,"Plaza Senayan, Jakarta",—,,,,
jkt-social-house,id,jkt,🍹 Social House,jkt-social-house,restaurant,business,restaurant,"[""restaurant"",""bar"",""modern""]",Модный ресторан и бар с интернациональной кухней и видом на центр города.,-6.195,106.8213,"Grand Indonesia, Jakarta",—,,,,
