id,country_id,city_id,name,slug,type,place_kind,category,tags,description_short,lat,lng,address,website,phone,instagram,google_maps_url,price_level
kll-petronas-twin-towers,my,kll,🏙️ Petronas Twin Towers,kll-petronas-twin-towers,landmark,showplace,landmark,"[""landmark"",""skyscraper"",""modern""]","Знаменитые башни-близнецы — главный символ Куала-Лумпура и современной Малайзии, соединённые небесным мостом.",3.1579,101.712,"KLCC, Kuala Lumpur",https://www.petronastwintowers.com.my,,,,
kll-batu-caves,my,kll,🕳️ Batu Caves,kll-batu-caves,temple,showplace,temple,"[""temple"",""cave"",""religion""]",Храмовый комплекс в известняковых пещерах с гигантской статуей Муругана — одна из главных религиозных святынь страны.,3.2379,101.6831,"Batu Caves, Selangor",—,,,,
kll-klcc-park,my,kll,🌳 KLCC Park,kll-klcc-park,park,showplace,park,"[""park"",""city"",""skyline""]",Городской парк у подножия башен Petronas — зелёный оазис в центре мегаполиса.,3.1569,101.7132,KLCC Park,—,,,,
kll-merdeka-square,my,kll,🏛️ Merdeka Square,kll-merdeka-square,history,showplace,history,"[""history"",""square"",""colonial""]","Историческая площадь, где была провозглашена независимость Малайзии.",3.1478,101.6937,Merdeka Square,—,,,,
kll-bukit-bintang,my,kll,🛍️ Bukit Bintang,kll-bukit-bintang,shopping,showplace,shopping,"[""shopping"",""nightlife"",""city""]","Главный торгово-развлекательный район Куала-Лумпура с моллами, улицами еды и ночной жизнью.",3.1456,101.709,Bukit Bintang,—,,,,
kll-thean-hou-temple,my,kll,🛕 Thean Hou Temple,kll-thean-hou-temple,temple,showplace,temple,"[""temple"",""culture"",""viewpoint"",""chinese""]",Красивый китайский храм на холме с панорамными видами и атмосферой традиционной китайской культуры в сердце Куала-Лумпура.,3.1219,101.6872,"Thean Hou Temple, Kuala Lumpur",—,,,,
kll-jalan-alor-food-street,my,kll,🍢 Jalan Alor Food Street,kll-jalan-alor-food-street,street-food,business,street-food,"[""street-food"",""local"",""night""]","Легендарная улица уличной еды с малайской, китайской и тайской кухней.",3.1459,101.7073,Jalan Alor,—,,,,
kll-atmosphere-360,my,kll,🍽️ Atmosphere 360,kll-atmosphere-360,restaurant,business,restaurant,"[""restaurant"",""view"",""premium""]",Вращающийся ресторан в телебашне KL Tower с панорамным видом на город.,3.1528,101.7038,KL Tower,—,,,,
kll-heli-lounge-bar,my,kll,🍹 Heli Lounge Bar,kll-heli-lounge-bar,rooftop,business,rooftop,"[""rooftop"",""bar"",""skyline""]",Руфтоп-бар на бывшей вертолётной площадке с открытым видом на город.,3.1457,101.7104,Bukit Bintang,—,,,,
kll-madam-kwan-s,my,kll,🍛 Madam Kwan’s,kll-madam-kwan-s,malaysian-food,business,malaysian-food,"[""malaysian-food"",""local"",""restaurant""]",Известный ресторан малайской кухни с классическими блюдами.,3.156,101.7136,KLCC,—,,,,
kll-bijan-bar-restaurant,my,kll,🍽️ Bijan Bar & Restaurant,kll-bijan-bar-restaurant,malaysian-food,business,malaysian-food,"[""malaysian-food"",""restaurant"",""modern"",""dinner""]","Современный ресторан малайской кухни, где традиционные блюда подают в изящной авторской интерпретации.",3.1497,101.7092,Kuala Lumpur (центр),—,,,,
kll-central-market,my,kll,🛍️ Central Market,kll-central-market,market,business,market,"[""market"",""food"",""shopping"",""culture""]","Крытый рынок-центр ремёсел и еды рядом с Pasar Seni: сувениры, локальные сладости и удобная точка перекуса в старом центре.",3.1466,101.6956,"Central Market (Pasar Seni), Kuala Lumpur",—,,,,
lgk-langkawi-sky-bridge,my,lgk,🌉 Langkawi Sky Bridge,lgk-langkawi-sky-bridge,bridge,showplace,bridge,"[""bridge"",""viewpoint"",""landmark""]",Знаменитый изогнутый мост на высоте более 600 метров над уровнем моря с панорамными видами на джунгли и Андаманское море.,6.3854,99.6708,"Oriental Village, Langkawi",—,,,,
lgk-langkawi-cable-car,my,lgk,🚠 Langkawi Cable Car,lgk-langkawi-cable-car,cable-car,showplace,cable-car,"[""cable-car"",""mountain"",""view""]","Одна из самых крутых канатных дорог в мире, ведущая на вершину горы Мат Чинчанг.",6.3859,99.6704,"Pantai Kok, Langkawi",—,,,,
lgk-kilim-karst-geoforest-park,my,lgk,🌿 Kilim Karst Geoforest Park,lgk-kilim-karst-geoforest-park,geopark,showplace,geopark,"[""geopark"",""mangrove"",""nature""]","Геопарк UNESCO с мангровыми лесами, известняковыми скалами и речными маршрутами.",6.4332,99.8066,"Kilim, Langkawi",—,,,,
lgk-pantai-cenang-beach,my,lgk,🏖️ Pantai Cenang Beach,lgk-pantai-cenang-beach,beach,showplace,beach,"[""beach"",""resort"",""sunset""]","Самый популярный пляж Лангкави с кафе, барами и водными развлечениями.",6.2939,99.727,"Pantai Cenang, Langkawi",—,,,,
lgk-eagle-square,my,lgk,🦅 Eagle Square,lgk-eagle-square,landmark,showplace,landmark,"[""landmark"",""square"",""symbol""]",Площадь с гигантской статуей орла — символа Лангкави.,6.3126,99.8519,"Kuah, Langkawi",—,,,,
lgk-telaga-tujuh-waterfalls,my,lgk,💦 Telaga Tujuh Waterfalls,lgk-telaga-tujuh-waterfalls,waterfall,showplace,waterfall,"[""waterfall"",""nature"",""hiking""]",«Семь колодцев» — каскад водопадов и природных бассейнов на склоне горы Мат Чинчанг.,6.3814,99.6719,"Telaga Tujuh, Langkawi",—,,,,
