listing_id,slug,title,description,listing_type,status,price_amount,price_currency,price_period,country_id,city_id,area_text,lat,lng,bedrooms,bathrooms,area_sqm,amenities,created_by_user_id,published_at,archived_at,deleted_at
rielt_phuket_kata_001,phuket-kata-001,1BR в Кате рядом с пляжем,"Проверенный вариант для 1–2 гостей, 8 минут до пляжа.",rent_short,published,1850,THB,day,thailand,phuket,Kata,7.821200,98.298700,1,1,38,wifi|aircon,user_pro_anton,2026-02-20T12:00:00Z,,
rielt_phuket_karon_002,phuket-karon-002,Семейные апартаменты в Кароне,"Спокойный вариант для семьи, рядом кафе и супермаркет.",rent_short,published,2400,THB,day,thailand,phuket,Karon,7.847100,98.294800,2,1,52,wifi|aircon,user_pro_anton,2026-02-21T12:00:00Z,,
rielt_phuket_rawai_003,phuket-rawai-003,Студия в Раваи на месяц+,Бюджетный long-stay для зимовки и удалённой работы.,rent_long,published,28000,THB,month,thailand,phuket,Rawai,7.779700,98.326700,0,1,29,wifi|aircon|workspace,user_pro_anton,2026-02-22T12:00:00Z,,
rielt_bkk_sathon_004,bkk-sathon-004,1BR в Сатхоне с бассейном,Долгосрочная квартира для релокации в центре Бангкока.,rent_long,published,42000,THB,month,thailand,bangkok,Sathon,13.720500,100.530900,1,1,42,wifi|aircon|workspace,user_pro_maya,2026-02-23T12:00:00Z,,
rielt_bkk_ari_005,bkk-ari-005,Loft в районе Ari,Дизайнерский лофт для 1–2 гостей и city stay.,rent_short,published,3200,THB,day,thailand,bangkok,Ari,13.779600,100.544600,1,1,35,wifi|aircon,user_pro_maya,2026-02-24T12:00:00Z,,
rielt_bkk_ari_006,bkk-ari-006,Nomad studio в Ari,Компактная студия на 1–3 месяца.,rent_long,published,36000,THB,month,thailand,bangkok,Ari,13.780100,100.545000,0,1,27,wifi|aircon|workspace,user_pro_maya,2026-02-25T12:00:00Z,,
rielt_danang_myan_007,danang-myan-007,Апартаменты у пляжа My An,Светлый вариант возле моря для короткого отдыха.,rent_short,published,1450000,VND,day,vietnam,da_nang,My An,16.051500,108.244000,1,1,40,wifi|aircon,user_pro_ivan,2026-02-26T12:00:00Z,,
rielt_danang_myan_008,danang-myan-008,Long-stay 1BR в Дананге,Для зимовки и удалённой работы.,rent_long,published,17000000,VND,month,vietnam,da_nang,My An,16.052000,108.243200,1,1,45,wifi|aircon|workspace,user_pro_ivan,2026-02-27T12:00:00Z,,
rielt_hcmc_d1_009,hcmc-d1-009,Студия в District 1,Компактный вариант в центре.,rent_short,published,1150000,VND,day,vietnam,ho_chi_minh_city,District 1,10.775800,106.700900,0,1,24,wifi|aircon,user_pro_linh,2026-02-28T12:00:00Z,,
rielt_hcmc_d1_010,hcmc-d1-010,1BR для тестовой релокации,Квартира на месяц+ рядом с центром.,rent_long,published,24000000,VND,month,vietnam,ho_chi_minh_city,District 1,10.776300,106.701500,1,1,39,wifi|aircon|workspace,user_pro_linh,2026-03-01T12:00:00Z,,
rielt_phuket_karon_011,phuket-karon-011,Архивный listing в Кароне,Negative case для public visibility.,rent_short,archived,2100,THB,day,thailand,phuket,Karon,7.846200,98.293900,1,1,34,wifi|aircon,user_pro_anton,,2026-03-31T12:00:00Z,
rielt_bkk_hidden_012,bkk-hidden-012,Draft listing в Бангкоке,Hidden state для public контуров.,rent_long,draft,39000,THB,month,thailand,bangkok,Sathon,,,1,1,41,wifi|aircon|workspace,user_pro_maya,,,
rielt_phuket_bangtao_013,phuket-bangtao-013,1BR в Bang Tao рядом с Laguna,Спокойный вариант рядом с пляжем и семейной инфраструктурой.,rent_short,published,2900,THB,day,thailand,phuket,Bang Tao,8.000700,98.293100,1,1,44,wifi|aircon,user_pro_elena,2026-03-04T12:00:00Z,,
rielt_phuket_bangtao_014,phuket-bangtao-014,2BR в Laguna на месяц+,Комфортный вариант для семьи или пары с ребёнком.,rent_long,published,46000,THB,month,thailand,phuket,Bang Tao,8.002100,98.294400,2,2,68,wifi|aircon|workspace,user_pro_elena,2026-03-05T12:00:00Z,,
