id,country_id,city_id,name,slug,type,place_kind,category,tags,description_short,lat,lng,address,website,phone,instagram,google_maps_url,price_level
hue-imperial-city-hue,vn,hue,🏛️ Imperial City Hue,hue-imperial-city-hue,heritage,showplace,heritage,"[""unesco"",""citadel"",""history"",""must-see""]","Бывшая резиденция императоров династии Нгуен и главный исторический символ Хюэ, объект Всемирного наследия ЮНЕСКО.",16.4637,107.5909,,,,,,
hue-perfume-river,vn,hue,🌸 Perfume River,hue-perfume-river,landmark,showplace,landmark,"[""river"",""cruises"",""sunset"",""city-symbol""]","Живописная река, проходящая через центр Хюэ и формирующая его панораму и поэтический образ.",16.4692,107.5846,,,,,,
hue-thien-mu-pagoda,vn,hue,🛕 Thien Mu Pagoda,hue-thien-mu-pagoda,temple,showplace,temple,"[""temple"",""iconic"",""river-view"",""heritage""]","Самая известная пагода Хюэ, расположенная на холме над Парфюмной рекой.",16.4864,107.5788,,,,,,
hue-truong-tien-bridge,vn,hue,🌉 Truong Tien Bridge,hue-truong-tien-bridge,landmark,showplace,landmark,"[""bridge"",""night-lights"",""photo"",""city-symbol""]","Исторический стальной мост через Парфюмную реку, соединяющий старый и новый Хюэ.",16.468,107.5877,,,,,,
hue-ngu-binh-viewpoint,vn,hue,🏞️ Ngu Binh Viewpoint,hue-ngu-binh-viewpoint,viewpoint,showplace,viewpoint,"[""viewpoint"",""hike"",""sunrise"",""panorama""]","Невысокая гора и смотровая точка, считающаяся «императорским экраном» Хюэ.",16.4449,107.6031,,,,,,
hue-tu-hieu-pagoda,vn,hue,🧘 Tu Hieu Pagoda,hue-tu-hieu-pagoda,temple,showplace,temple,"[""temple"",""pine-forest"",""calm"",""meditation""]","Тихий буддийский монастырь в сосновом лесу на окраине Хюэ, известный атмосферой созерцания и связью с дзен-мастером Тхить Нят Ханем.",16.4889,107.5657,,,,,,
hue-nam-giao-altar,vn,hue,🏯 Nam Giao Altar,hue-nam-giao-altar,heritage,showplace,heritage,"[""ritual"",""history"",""architecture"",""unique""]","Церемониальный комплекс под открытым небом, где императоры династии Нгуен совершали ритуалы жертвоприношения Небу и Земле.",16.4446,107.5926,,,,,,
hue-vong-canh-hill,vn,hue,🌄 Vong Canh Hill,hue-vong-canh-hill,viewpoint,showplace,viewpoint,"[""viewpoint"",""sunset"",""pine"",""calm""]","Сосновый холм на юге Хюэ, известный панорамными видами на Парфюмную реку и императорские гробницы.",16.444,107.5529,,,,,,
hue-tam-giang-lagoon,vn,hue,🌅 Tam Giang Lagoon,hue-tam-giang-lagoon,nature,showplace,nature,"[""lagoon"",""fishing"",""sunset"",""photo""]","Крупнейшая лагунная система Юго-Восточной Азии, расположенная к востоку от Хюэ и известная рыбацкими пейзажами и закатами.",16.562,107.682,,,,,,
hue-bach-ma-national-park,vn,hue,🌳 Bach Ma National Park,hue-bach-ma-national-park,nature,showplace,nature,"[""hiking"",""waterfalls"",""cool-climate"",""day-trip""]","Горный национальный парк между Хюэ и Данангом, известный прохладным климатом, водопадами и треккинговыми маршрутами.",16.195,107.858,,,,,,
hue-the-lab-coffee,vn,hue,☕ The Lab Coffee,hue-the-lab-coffee,cafe,business,cafe,"[""specialty-coffee"",""work-friendly"",""expat"",""quiet""]","Спешелти-кофейня в центре Хюэ, ориентированная на качество зёрен, аккуратную экстракцию и спокойную рабочую атмосферу.",16.4703,107.5947,,,,,,
