id,country_id,city_id,name,slug,type,place_kind,category,tags,description_short,lat,lng,address,website,phone,instagram,google_maps_url,price_level
bkk-grand-palace,th,bkk,🏛️ Grand Palace,bkk-grand-palace,attraction,showplace,attraction,"[""attraction"",""bangkok"",""heritage"",""must-see""]","Главный исторический и культурный символ Таиланда — королевский дворцовый комплекс с храмом Изумрудного Будды и роскошной архитектурой эпохи Раттанакосин. - 🕒 08:30–15:30 - 🌐 Тайский, английский - 📶 Интернет отсутствует - 💳 Наличные, карты",13.75,100.4913,"Na Phra Lan Rd, Phra Nakhon",https://www.royalgrandpalace.th,,,,
bkk-wat-arun,th,bkk,🛕 Wat Arun,bkk-wat-arun,attraction,showplace,attraction,"[""attraction"",""bangkok"",""must-see"",""temple""]","Один из самых узнаваемых храмов Бангкока, расположенный на западном берегу реки Чао Прайя и знаменитый своим силуэтом на закате. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",13.7437,100.4889,по координатам (уточняется),,—,,,
bkk-wat-pho,th,bkk,🛕 Wat Pho,bkk-wat-pho,attraction,showplace,attraction,"[""attraction"",""bangkok"",""must-see"",""temple""]","Один из старейших храмов Таиланда, известный гигантской статуей Лежащего Будды и школой традиционного тайского массажа. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",13.7467,100.493,по координатам (уточняется),,—,,,
bkk-chatuchak-weekend-market,th,bkk,🛍️ Chatuchak Weekend Market,bkk-chatuchak-weekend-market,attraction,showplace,attraction,"[""attraction"",""bangkok"",""market"",""must-see""]","Крупнейший рынок Юго-Восточной Азии с тысячами лавок, уличной едой и атмосферой настоящего Бангкока. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",13.7999,100.55,по координатам (уточняется),,—,,,
bkk-chinatown,th,bkk,🏮 Chinatown,bkk-chinatown,attraction,showplace,attraction,"[""attraction"",""bangkok"",""food"",""must-see""]","Один из самых колоритных районов города, известный уличной едой, храмами и неоновыми вывесками. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",13.7392,100.5126,по координатам (уточняется),,—,,,
bkk-jay-fai,th,bkk,🍜 Jay Fai,bkk-jay-fai,bangkok,business,bangkok,"[""bangkok"",""food"",""local""]","Легендарное уличное заведение с Michelin Star, известное своим крабовым омлетом. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",13.7536,100.5055,по координатам (уточняется),,—,,,
bkk-blue-elephant-bangkok,th,bkk,🍽️ Blue Elephant Bangkok,bkk-blue-elephant-bangkok,bangkok,business,bangkok,"[""bangkok"",""food"",""local""]","Ресторан высокой тайской кухни в историческом особняке, сочетающий традиции и современную подачу. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",13.7265,100.5347,по координатам (уточняется),,—,,,
bkk-vertigo-moon-bar,th,bkk,🌃 Vertigo & Moon Bar,bkk-vertigo-moon-bar,bangkok,business,bangkok,"[""bangkok"",""bar"",""food"",""local""]","Ресторан и бар на крыше с панорамным видом на Бангкок. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",13.7244,100.537,по координатам (уточняется),,—,,,
bkk-iconsiam,th,bkk,🛍️ ICONSIAM,bkk-iconsiam,attraction,showplace,attraction,"[""attraction"",""bangkok"",""must-see""]","Современный торгово-культурный комплекс на берегу реки с музеями, магазинами и ресторанами. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",13.726,100.5105,по координатам (уточняется),,—,,,
bkk-asiatique-the-riverfront,th,bkk,🌃 Asiatique The Riverfront,bkk-asiatique-the-riverfront,attraction,showplace,attraction,"[""attraction"",""bangkok"",""must-see""]","Ночной рынок и развлекательная зона у реки с колесом обозрения и ресторанами. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",13.7056,100.5038,по координатам (уточняется),,—,,,
bkk-thipsamai-pad-thai,th,bkk,🍜 Thipsamai Pad Thai,bkk-thipsamai-pad-thai,bangkok,business,bangkok,"[""bangkok"",""food"",""local""]","Один из самых известных ресторанов пад-тай в мире. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",13.746,100.5015,по координатам (уточняется),,—,,,
bkk-sirocco-sky-bar,th,bkk,🌃 Sirocco Sky Bar,bkk-sirocco-sky-bar,bangkok,business,bangkok,"[""bangkok"",""bar"",""food"",""local""]","Знаменитый бар на крыше, известный по фильму «Мальчишник 2». - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",13.7216,100.5149,по координатам (уточняется),,—,,,
cnx-wat-phra-that-doi-suthep,th,cnx,🛕 Wat Phra That Doi Suthep,cnx-wat-phra-that-doi-suthep,attraction,showplace,attraction,"[""attraction"",""chiang-mai"",""must-see"",""temple""]","Священный буддийский храм на вершине горы Дойсутхеп с панорамным видом на Чиангмай — главный духовный символ северного Таиланда. - 🕒 06:00–18:00 - 🌐 Тайский, английский - 📶 Связь ограниченная - 💳 Наличные",18.8048,98.9217,"Suthep, Chiang Mai",—,,,,
cnx-wat-chedi-luang,th,cnx,🏯 Wat Chedi Luang,cnx-wat-chedi-luang,attraction,showplace,attraction,"[""attraction"",""chiang-mai"",""must-see"",""temple""]","Древний храм в Старом городе с массивной разрушенной чеди — сердце исторического Чиангмая. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",18.7877,98.9869,по координатам (уточняется),,—,,,
cnx-old-city,th,cnx,🏘️ Old City,cnx-old-city,attraction,showplace,attraction,"[""attraction"",""chiang-mai"",""heritage"",""must-see""]","Исторический центр Чиангмая, окружённый древними стенами и рвами, с десятками храмов и уютных улиц. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",18.787,98.985,по координатам (уточняется),,—,,,
cnx-doi-inthanon-national-park,th,cnx,🌲 Doi Inthanon National Park,cnx-doi-inthanon-national-park,attraction,showplace,attraction,"[""attraction"",""chiang-mai"",""must-see"",""nature""]","Национальный парк с самой высокой точкой Таиланда, водопадами и тропическими лесами. - 🕒 Часы работы: уточняются - 🌐 Тайский, английский (в туристических местах) - 📶 Связь/интернет: как правило, стабильные - 💳 Оплата: наличные/карты (зависит от места)",18.5886,98.4867,по координатам (уточняется),,—,,,
