partner_id,rf_partner_id,partner_slug,partner_public_name,partner_legal_or_manager_name,partner_type,country_id,city_id,district_id,partner_language_ru,partner_language_en,partner_language_local,needs_pro_mediation,verification_status,onboarding_status,public_phone,public_whatsapp,public_telegram,public_email,partner_story_short,trust_note,is_active
partner_phuket_seabreeze,rf_partner_phuket_seabreeze,seabreeze-phuket,Seabreeze Phuket Stays,Nattapon S.,property_manager,thailand,phuket,kata,false,true,true,true,verified,completed,+66-900-000-101,+66-900-000-101,,hello@seabreeze.example,Пул апартаментов рядом с Ката и Карон.,Онбординг через RF + проверка PRO,true
partner_phuket_karonnest,rf_partner_phuket_karonnest,karon-nest,Karon Nest,Olga P.,owner,thailand,phuket,karon,true,true,false,false,verified,completed,+66-900-000-102,+66-900-000-102,@karonnest,stay@karonnest.example,Семейные апартаменты в Кароне.,Русскоязычный партнёр RF,true
partner_phuket_lagunagreen,rf_partner_phuket_lagunagreen,laguna-green-phuket,Laguna Green Residences,Somchai P.,property_manager,thailand,phuket,bang_tao,false,true,true,true,verified,completed,+66-900-000-103,+66-900-000-103,,booking@lagunagreen.example,Сет из condo-вариантов в Bang Tao и Laguna.,Партнёр под кураторством PRO,true
partner_bkk_riverside,rf_partner_bkk_riverside,riverside-bkk,Riverside Living Bangkok,Preecha K.,property_manager,thailand,bangkok,sathon,false,true,true,false,verified,completed,+66-900-000-201,+66-900-000-201,,host@riversidebkk.example,Квартиры в центре Бангкока для релокации.,Проверенный городской оператор,true
partner_bkk_nomadloft,rf_partner_bkk_nomadloft,nomad-loft-bkk,Nomad Loft Bangkok,Maya R.,boutique_operator,thailand,bangkok,ari,false,true,true,false,verified,completed,+66-900-000-202,+66-900-000-202,,team@nomadloft.example,Дизайнерские квартиры для short и mid stay.,Проверено RF,true
partner_bkk_sukhumvibe,rf_partner_bkk_sukhumvibe,sukhumvibe-bkk,SukhumVibe Living,Kanya L.,property_manager,thailand,bangkok,phrom_phong,false,true,true,false,verified,completed,+66-900-000-203,+66-900-000-203,,stay@sukhumvibe.example,Квартиры у BTS для city lifestyle.,Проверено RF и PRO,true
partner_danang_blueharbor,rf_partner_danang_blueharbor,blue-harbor-danang,Blue Harbor Danang,Tran H.,property_manager,vietnam,da_nang,my_an,false,true,true,true,verified,completed,+84-900-000-301,+84-900-000-301,,stay@blueharbor.example,Апартаменты рядом с пляжем Ми Ан.,Требуется PRO как медиатор,true
partner_danang_riverside,rf_partner_danang_riverside,riverside-danang,Danang Riverside Homes,Vo L.,owner,vietnam,da_nang,hai_chau,false,true,true,false,verified,completed,+84-900-000-302,+84-900-000-302,,host@danangriver.example,Городские варианты в Hai Chau и у набережной.,Проверенный городской партнёр,true
partner_hcmc_saigonstay,rf_partner_hcmc_saigonstay,saigon-stay-club,Saigon Stay Club,Nguyen T.,property_manager,vietnam,ho_chi_minh_city,district_1,false,true,true,false,verified,completed,+84-900-000-401,+84-900-000-401,,hello@saigonstay.example,Студии и 1BR для коротких поездок.,Проверенный RF-партнёр,true
partner_hcmc_thaodien,rf_partner_hcmc_thaodien,thao-dien-living,Thao Dien Living,Le P.,property_manager,vietnam,ho_chi_minh_city,thao_dien,false,true,true,false,verified,completed,+84-900-000-402,+84-900-000-402,,team@thaodien.example,Комфортные варианты для семей и nomads в Thao Dien.,Проверено RF,true
