entity_type,entity_id,tab_key,lang,title,body_markdown,source
place,vte-pha-that-luang,overview,ru,,"## Почему это важно?

- 🌟 Самая важная святыня Лаоса  
- 🌍 Символ государственности и буддизма  
- 📸 Золотая ступа на фоне неба

## Структура комплекса

- 🛕 Главную ступу  
- 🚶 Прогулку по храмовому комплексу  
- 📷 Осмотр внутренних дворов

## Билеты и посещение

- 💰 ~30 000 LAK  
- 🎟️ Билет на входе  
- 🆓 Внешняя территория бесплатна

## Лучшие точки для фото

- 📷 Золотую ступу  
- 📷 Симметрию комплекса  
- 🌅 Свет на закате

## Практическая информация

- **Адрес:** That Luang, Vientiane  
- **Сайт:** —  
- **Телефон:** —

## Как добраться

- 🚕 Такси / тук-тук  
- 🛵 Байк  
- 🗺️ Северо-восток центра Вьентьяна

## Полезные нюансы

- ⚠️ Строгий дресс-код  
- 🌞 Лучше посещать утром  
- 👕 Закрытые плечи и колени  
- 🐾 —

## Локальная ценность

Pha That Luang — духовное сердце страны и место проведения национальных праздников.
",editorial
place,vte-patuxai,overview,ru,,"## Почему это важно?

- 🌟 Самый узнаваемый монумент столицы  
- 🌍 История независимости Лаоса  
- 📸 Вид с обзорной площадки

## Структура комплекса

- 🏛 Архитектуру арки  
- 🔭 Подъём на смотровую площадку  
- 🚶 Прогулку по парку

## Билеты и посещение

- 💰 ~20 000 LAK  
- 🎟️ Подъём наверх — платно  
- 🆓 Нижняя часть бесплатна

## Лучшие точки для фото

- 📷 Арку снизу  
- 📷 Панораму города  
- 🌅 Закат

## Практическая информация

- **Адрес:** Patuxai Park, Vientiane  
- **Сайт:** —  
- **Телефон:** —

## Как добраться

- 🚶 Пешком из центра  
- 🚕 Такси  
- 🗺️ Lane Xang Avenue

## Полезные нюансы

- ⚠️ Жарко днём  
- 🌞 Лучше утром  
- 👕 Лёгкая одежда  
- 🐾 —

## Локальная ценность

Памятник символизирует национальную гордость и современную историю Лаоса.
",editorial
place,vte-wat-si-saket,overview,ru,,"## Почему это важно?

- 🌟 Самый древний храм столицы  
- 🌍 Уникальная коллекция Будд  
- 📸 Атмосфера тишины

## Структура комплекса

- 🛕 Галереи со статуями  
- 🚶 Внутренний двор  
- 📷 Детали росписей

## Билеты и посещение

- 💰 ~30 000 LAK  
- 🎟️ Билет на входе  
- 🆓 —

## Лучшие точки для фото

- 📷 Ниши со статуями  
- 📷 Внутренний двор  
- 🌅 Мягкий свет

## Практическая информация

- **Адрес:** Ave Lane Xang, Vientiane  
- **Сайт:** —  
- **Телефон:** —

## Как добраться

- 🚶 Пешком из центра  
- 🚕 Тук-тук  
- 🗺️ Старый город

## Полезные нюансы

- ⚠️ Фото без вспышки  
- 🌞 Лучше утром  
- 👕 Закрытая одежда  
- 🐾 —

## Локальная ценность

Храм сохраняет буддийское наследие и историческую память города.
",editorial
place,vte-cope-visitor-centre,overview,ru,,"## Почему это важно?

- 🌟 Важный социальный проект  
- 🌍 Современная история Лаоса  
- 📸 Информационные экспозиции

## Структура комплекса

- 🖥 Экспозиции  
- 🎥 Документальные фильмы  
- 📚 Информационные стенды

## Билеты и посещение

- 💰 Бесплатно  
- 🎟️ Пожертвования приветствуются  
- 🆓 Свободный вход

## Лучшие точки для фото

- 📷 Экспозиции  
- 📷 Информационные панели  
- 🌅 Архитектуру здания

## Практическая информация

- **Адрес:** COPE Centre, Vientiane  
- **Сайт:** —  
- **Телефон:** —

## Как добраться

- 🚕 Такси  
- 🛵 Байк  
- 🗺️ Центр города

## Полезные нюансы

- ⚠️ Эмоционально тяжёлые темы  
- 🌞 Лучше днём  
- 👕 Повседневная одежда  
- 🐾 —

## Локальная ценность

Центр повышает осведомлённость о гуманитарных проблемах и поддерживает пострадавших.
",editorial
place,vte-buddha-park,overview,ru,,"## Почему это важно?

- 🌟 Самая необычная достопримечательность Вьентьяна  
- 🌍 Синтез буддизма и индуизма  
- 📸 Монументальные скульптуры

## Структура комплекса

- 🗿 Скульптуры  
- 🚶 Прогулку по парку  
- 📷 Осмотр панорам

## Билеты и посещение

- 💰 ~20 000 LAK  
- 🎟️ Билет на входе  
- 🆓 —

## Лучшие точки для фото

- 📷 Большие скульптуры  
- 📷 Детали  
- 🌅 Вид на Меконг

## Практическая информация

- **Адрес:** Xieng Khuan, Vientiane  
- **Сайт:** —  
- **Телефон:** —

## Как добраться

- 🚕 Такси  
- 🚌 Автобус  
- 🗺️ ~25 км от центра

## Полезные нюансы

- ⚠️ Жарко днём  
- 🌞 Лучше утром  
- 👕 Удобная обувь  
- 🐾 —

## Локальная ценность

Парк стал культурным феноменом и туристическим символом окрестностей Вьентьяна.
",editorial
place,vte-mekong-riverside-promenade,overview,ru,,"## Почему это важно?

- 🌟 Лучшее место для вечерних прогулок  
- 🌍 Связь города с рекой  
- 📸 Закаты над Меконгом

## Структура комплекса

- 🚶 Прогулку по набережной  
- 🛍 Ночные рынки  
- 🌅 Закат

## Билеты и посещение

- 💰 Бесплатно  
- 🎟️ —  
- 🆓 Свободный доступ

## Лучшие точки для фото

- 📷 Реку  
- 📷 Вечерние огни  
- 🌅 Закат

## Практическая информация

- **Адрес:** Mekong Riverside, Vientiane  
- **Сайт:** —  
- **Телефон:** —

## Как добраться

- 🚶 Пешком из центра  
- 🚕 Такси  
- 🗺️ Берег Меконга

## Полезные нюансы

- ⚠️ Активно вечером  
- 🌞 Лучшее время — закат  
- 👕 Casual  
- 🐾 —

## Локальная ценность

Набережная является общественным пространством и центром городской жизни.
",editorial
place,vte-kualao-restaurant,overview,ru,,"## Что попробовать обязательно

- 🍽 Традиционные блюда  
- 🍚 Липкий рис  
- 🍲 Сеты лаосской кухни

## Как добраться

- 🚕 Такси  
- 🚶 Пешком из центра  
- 🗺️ Центральный Вьентьян

## Полезные нюансы

- ⚠️ Спокойная атмосфера  
- 🌞 Подходит для вечера  
- 👕 Smart casual  
- 🐾 —

## Локальная ценность

Ресторан сохраняет и продвигает гастрономическое наследие Лаоса.

## Лучшие точки для фото

- 📷 Интерьер  
- 📷 Подачу блюд  
- 🌅 Вечерний свет

## Практическая информация

- **Адрес:** Vientiane Centre  
- **Сайт:** —  
- **Телефон:** —

## Почему это важно?

- 🌟 Эталон лаосской кухни  
- 🌍 Культурное заведение столицы  
- 📸 Элегантный интерьер

## Билеты и посещение

- 💰 Средний–высокий чек  
- 🎟️ Бронирование желательно  
- 🆓 —
",editorial
place,vte-makphet-restaurant,overview,ru,,"## Что попробовать обязательно

- 🍽 Современные интерпретации  
- 🍲 Супы и карри  
- 🍰 Десерты

## Как добраться

- 🚶 Пешком из центра  
- 🚕 Такси  
- 🗺️ Рядом с набережной

## Полезные нюансы

- ⚠️ Закрыто по воскресеньям  
- 🌞 Лучше вечером  
- 👕 Casual  
- 🐾 —

## Локальная ценность

Заведение поддерживает образовательные программы для молодёжи.

## Лучшие точки для фото

- 📷 Интерьер  
- 📷 Блюда  
- 🌅 Атмосферу

## Практическая информация

- **Адрес:** Near Mekong, Vientiane  
- **Сайт:** —  
- **Телефон:** —

## Почему это важно?

- 🌟 Социальный проект  
- 🌍 Современная лаосская кухня  
- 📸 Уютная атмосфера

## Билеты и посещение

- 💰 Средний чек  
- 🎟️ Бронирование желательно  
- 🆓 —
",editorial
place,vte-bor-pen-nyang-rooftop,overview,ru,,"## Что попробовать обязательно

- 🍹 Коктейли  
- 🎶 Живую музыку  
- 🌅 Закат над рекой

## Как добраться

- 🚶 Пешком из центра  
- 🚕 Тук-тук  
- 🗺️ Mekong Riverside

## Полезные нюансы

- ⚠️ Многолюдно вечером  
- 🌞 Лучшее время — закат  
- 👕 Casual  
- 🐾 —

## Локальная ценность

Заведение стало центром вечерней социальной жизни столицы.

## Лучшие точки для фото

- 📷 Вид на реку  
- 📷 Музыкальную сцену  
- 🌅 Закат

## Практическая информация

- **Адрес:** Mekong Riverside, Vientiane  
- **Сайт:** —  
- **Телефон:** —

## Почему это важно?

- 🌟 Лучший rooftop у реки  
- 🌍 Живая музыка и городской вайб  
- 📸 Панорамы Меконга и закаты

## Билеты и посещение

- 💰 Средний чек  
- 🎟️ Вход свободный  
- 🆓 —
",editorial
place,vte-taj-mahal-restaurant,overview,ru,,"## Что попробовать обязательно

- 🍽 Карри  
- 🫓 Наан  
- 🍚 Рис басмати

## Как добраться

- 🚶 Пешком из центра  
- 🚕 Такси  
- 🗺️ Downtown Vientiane

## Полезные нюансы

- ⚠️ Подходит для вегетарианцев  
- 🌞 В любое время дня  
- 👕 Casual  
- 🐾 —

## Локальная ценность

Ресторан расширяет гастрономическое разнообразие столицы.

## Лучшие точки для фото

- 📷 Подачу блюд  
- 📷 Интерьер  
- 🌅 Вечерний свет

## Практическая информация

- **Адрес:** Vientiane  
- **Сайт:** —  
- **Телефон:** —

## Почему это важно?

- 🌟 Лучший индийский ресторан города  
- 🌍 Разнообразие вкусов  
- 📸 Колоритная подача

## Билеты и посещение

- 💰 Средний чек  
- 🎟️ —  
- 🆓 —
",editorial
place,vte-scandinavian-bakery,overview,ru,,"## Что попробовать обязательно

- 🥐 Выпечку  
- ☕ Кофе  
- 🍳 Завтраки

## Как добраться

- 🚶 Пешком из центра  
- 🚕 Тук-тук  
- 🗺️ Downtown Vientiane

## Полезные нюансы

- ⚠️ Многолюдно утром  
- 🌞 Лучшее время — завтрак  
- 👕 Casual  
- 🐾 —

## Локальная ценность

Кафе стало частью повседневной жизни экспатского и туристического сообщества.

## Лучшие точки для фото

- 📷 Витрину  
- 📷 Кофе  
- 🌅 Утренний свет

## Практическая информация

- **Адрес:** Vientiane  
- **Сайт:** —  
- **Телефон:** —

## Почему это важно?

- 🌟 Лучшие завтраки и хлеб  
- 🌍 Европейская атмосфера  
- 📸 Витрина с выпечкой

## Билеты и посещение

- 💰 Бюджет–средний  
- 🎟️ —  
- 🆓 —
",editorial
place,vte-ban-anou-night-market-food-court,overview,ru,,"## Что попробовать обязательно

- 🍢 Уличные блюда  
- 🍜 Лапшу  
- 🥤 Напитки

## Как добраться

- 🚶 Пешком из центра  
- 🚕 Тук-тук  
- 🗺️ Рядом с Mekong Riverside

## Полезные нюансы

- ⚠️ Простые условия  
- 🌞 Лучше вечером  
- 👕 Casual  
- 🐾 —

## Локальная ценность

Фудкорт поддерживает малый бизнес и повседневную гастрономию Вьентьяна.

## Лучшие точки для фото

- 📷 Ряды еды  
- 📷 Процесс готовки  
- 🌅 Вечернюю атмосферу

## Практическая информация

- **Адрес:** Ban Anou, Vientiane  
- **Сайт:** —  
- **Телефон:** —

## Почему это важно?

- 🌟 Локальная уличная еда  
- 🌍 Аутентичная атмосфера  
- 📸 Вечерний рынок

## Билеты и посещение

- 💰 Бюджетный  
- 🎟️ —  
- 🆓 Вход свободный
",editorial
place,vvg-blue-lagoon-1,overview,ru,,"## Почему это важно?

- 🌟 Главная природная локация Вангвьенга  
- 🌍 Символ активного туризма региона  
- 📸 Бирюзовая вода и карстовые пейзажи

## Билеты и посещение

- 💰 ~20 000 LAK  
- 🎟️ Билет на входе  
- 🆓 —

## Лучшие точки для фото

- 📷 Лагуну сверху  
- 📷 Прыжки в воду  
- 🌅 Свет среди скал

## Практическая информация

- **Адрес:** Blue Lagoon Area, Vang Vieng  
- **Сайт:** —  
- **Телефон:** —

## Как добраться

- 🚕 Такси / тук-тук  
- 🛵 Байк  
- 🗺️ ~7 км от центра города

## Полезные нюансы

- ⚠️ Многолюдно днём  
- 🌞 Лучше приезжать утром  
- 👕 Купальная одежда  
- 🐾 Осторожно на скользких камнях

## Локальная ценность

Лагуна обеспечивает доход для местных общин и поддерживает туризм Вангвьенга.
",editorial
place,vvg-tham-chang-cave,overview,ru,,"## Почему это важно?

- 🌟 Самая доступная пещера Вангвьенга  
- 🌍 Историческое укрытие времён войн  
- 📸 Панорама долины

## Билеты и посещение

- 💰 ~15 000 LAK  
- 🎟️ Билет на входе  
- 🆓 —

## Лучшие точки для фото

- 📷 Вид из пещеры  
- 📷 Вход в грот  
- 🌅 Долину реки

## Практическая информация

- **Адрес:** Tham Chang, Vang Vieng  
- **Сайт:** —  
- **Телефон:** —

## Как добраться

- 🚶 Пешком из города  
- 🗺️ Восточная часть Вангвьенга

## Полезные нюансы

- ⚠️ Внутри темно  
- 🌞 Лучше днём  
- 👕 Удобная обувь  
- 🐾 Осторожно на лестницах

## Локальная ценность

Пещера — часть исторического и природного наследия региона.
",editorial
place,vvg-nam-song-river-tubing,overview,ru,,"## Почему это важно?

- 🌟 Самое известное развлечение города  
- 🌍 Символ backpacker-культуры  
- 📸 Карстовые горы и река

## Билеты и посещение

- 💰 Аренда тюбинга ~60 000 LAK  
- 🎟️ Оплата на старте  
- 🆓 —

## Лучшие точки для фото

- 📷 Реку и горы  
- 📷 Сплав  
- 🌅 Закат у воды

## Практическая информация

- **Адрес:** Nam Song River  
- **Сайт:** —  
- **Телефон:** —

## Как добраться

- 🚶 Пешком из центра  
- 🗺️ Река Нам Сонг

## Полезные нюансы

- ⚠️ Соблюдайте безопасность  
- 🌞 Лучше в сухой сезон  
- 👕 Купальная одежда  
- 🐾 Не злоупотребляйте алкоголем

## Локальная ценность

Тюбинг поддерживает экономику города и сервисы для путешественников.
",editorial
place,vvg-pha-ngern-viewpoint,overview,ru,,"## Почему это важно?

- 🌟 Лучший панорамный вид региона  
- 🌍 Активный треккинг  
- 📸 Карстовые пейзажи

## Билеты и посещение

- 💰 ~20 000 LAK  
- 🎟️ Билет на входе  
- 🆓 —

## Лучшие точки для фото

- 📷 Панораму  
- 📷 Скалы  
- 🌅 Закат

## Практическая информация

- **Адрес:** Pha Ngern, Vang Vieng  
- **Сайт:** —  
- **Телефон:** —

## Как добраться

- 🚕 Тук-тук  
- 🛵 Байк  
- 🗺️ Окрестности города

## Полезные нюансы

- ⚠️ Крутой подъём  
- 🌞 Лучше утром  
- 👕 Треккинговая обувь  
- 🐾 Вода обязательна

## Локальная ценность

Точка способствует развитию активного туризма в регионе.
",editorial
place,vvg-tham-phu-kham-cave,overview,ru,,"## Почему это важно?

- 🌟 Комбинация пещеры и лагуны  
- 🌍 Духовное место  
- 📸 Контраст воды и скал

## Билеты и посещение

- 💰 ~20 000 LAK  
- 🎟️ Билет на входе  
- 🆓 —

## Лучшие точки для фото

- 📷 Лагуну  
- 📷 Вход в пещеру  
- 🌅 Свет у воды

## Практическая информация

- **Адрес:** Tham Phu Kham, Vang Vieng  
- **Сайт:** —  
- **Телефон:** —

## Как добраться

- 🚕 Тук-тук  
- 🛵 Байк  
- 🗺️ Район Blue Lagoon

## Полезные нюансы

- ⚠️ Внутри темно  
- 🌞 Лучше днём  
- 👕 Удобная обувь  
- 🐾 Осторожно на камнях

## Локальная ценность

Пещера объединяет природную и духовную ценность региона.
",editorial
