entity_type,entity_id,tab_key,lang,title,body_markdown,source
place,sgp-marina-bay-sands-skypark,overview,ru,,"## Почему это важно?

- 🌟 Главный визуальный символ Сингапура  
- 🌍 Современная архитектура мирового уровня  
- 📸 Skyline Marina Bay

## Билеты и посещение

- 💰 ~30–35 SGD  
- 🎟️ Билет по времени  
- 🆓 —

## Лучшие точки для фото

- 📷 Панораму Marina Bay  
- 📷 Небоскрёбы  
- 🌅 Закат

## Практическая информация

- **Адрес:** Marina Bay Sands  
- **Сайт:** —  
- **Телефон:** —

## 🔵 Что обязательно посмотреть / попробовать

- 🔭 Смотровую площадку  
- 🌃 Вечерний вид на город  
- 📷 Фото skyline

## Как добраться

- 🚇 MRT Bayfront  
- 🚶 Пешком  
- 🗺️ Marina Bay

## 🔷 Коммуникация и сервис

- 🕒 11:00–21:00  
- 🌐 Английский  
- 📶 Интернет  
- 💳 Карты

## Полезные нюансы

- ⚠️ Очереди вечером  
- 🌞 Лучше на закат  
- 👕 Smart casual  
- 🐾 —

## Локальная ценность

SkyPark стал иконой бренда Сингапура как глобального города будущего.
",editorial
place,sgp-gardens-by-the-bay,overview,ru,,"## Почему это важно?

- 🌟 Самый необычный парк Азии  
- 🌍 Экология и технологии  
- 📸 Supertrees и световые шоу

## Билеты и посещение

- 💰 Парк бесплатно  
- 🎟️ Оранжереи — платно  
- 🆓 Supertrees (с земли)

## Лучшие точки для фото

- 📷 Supertrees  
- 📷 Купола  
- 🌅 Вечернюю подсветку

## Практическая информация

- **Адрес:** Gardens by the Bay  
- **Сайт:** —  
- **Телефон:** —

## 🔵 Что обязательно посмотреть / попробовать

- 🌳 Supertree Grove  
- 🌺 Flower Dome  
- 🌃 Вечернее световое шоу

## Как добраться

- 🚇 MRT Bayfront  
- 🚶 Пешком  
- 🗺️ Marina Bay

## 🔷 Коммуникация и сервис

- 🕒 09:00–21:00  
- 🌐 Английский  
- 📶 Интернет  
- 💳 Карты

## Полезные нюансы

- ⚠️ Жарко днём  
- 🌞 Лучше вечером  
- 👕 Лёгкая одежда  
- 🐾 —

## Локальная ценность

Проект символизирует экологический подход Сингапура к урбанистике.
",editorial
place,sgp-merlion-park,overview,ru,,"## Почему это важно?

- 🌟 Национальный символ  
- 🌍 История города-государства  
- 📸 Фото с Marina Bay

## Билеты и посещение

- 💰 Бесплатно  
- 🎟️ —  
- 🆓 Свободный доступ

## Лучшие точки для фото

- 📷 Статую  
- 📷 Залив  
- 🌅 Закат

## Практическая информация

- **Адрес:** Merlion Park  
- **Сайт:** —  
- **Телефон:** —

## 🔵 Что обязательно посмотреть / попробовать

- 🦁 Статую Мерлиона  
- 🚶 Прогулку по набережной  
- 📷 Фото на фоне skyline

## Как добраться

- 🚇 MRT Raffles Place  
- 🚶 Пешком  
- 🗺️ Marina Bay

## 🔷 Коммуникация и сервис

- 🕒 Круглосуточно  
- 🌐 Английский  
- 📶 Интернет  
- 💳 —

## Полезные нюансы

- ⚠️ Многолюдно днём  
- 🌞 Лучше утром/вечером  
- 👕 Casual  
- 🐾 —

## Локальная ценность

Мерлион отражает морскую историю и идентичность Сингапура.
",editorial
place,sgp-singapore-botanic-gardens,overview,ru,,"## Почему это важно?

- 🌟 Единственный тропический ботсад UNESCO  
- 🌍 Природа в мегаполисе  
- 📸 Орхидеи и тропики

## Билеты и посещение

- 💰 Парк бесплатно  
- 🎟️ Orchid Garden — платно  
- 🆓 Основная территория

## Лучшие точки для фото

- 📷 Орхидеи  
- 📷 Аллеи  
- 🌅 Утренний свет

## Практическая информация

- **Адрес:** Botanic Gardens  
- **Сайт:** —  
- **Телефон:** —

## 🔵 Что обязательно посмотреть / попробовать

- 🌸 Orchid Garden  
- 🚶 Прогулки  
- 📷 Фото растений

## Как добраться

- 🚇 MRT Botanic Gardens  
- 🚶 Пешком  
- 🗺️ Central Singapore

## 🔷 Коммуникация и сервис

- 🕒 05:00–00:00  
- 🌐 Английский  
- 📶 Интернет  
- 💳 —

## Полезные нюансы

- ⚠️ Жарко днём  
- 🌞 Лучше утром  
- 👕 Удобная обувь  
- 🐾 —

## Локальная ценность

Сад отражает баланс урбанизма и природы в Сингапуре.
",editorial
place,sgp-sentosa-island,overview,ru,,"## Почему это важно?

- 🌟 Главная зона отдыха  
- 🌍 Пляжи и развлечения  
- 📸 Курортная атмосфера

## Билеты и посещение

- 💰 Въезд платный  
- 🎟️ Парки — отдельно  
- 🆓 Пляжи

## Лучшие точки для фото

- 📷 Пляжи  
- 📷 Resorts  
- 🌅 Закат

## Практическая информация

- **Адрес:** Sentosa Island  
- **Сайт:** —  
- **Телефон:** —

## 🔵 Что обязательно посмотреть / попробовать

- 🏖 Пляжи  
- 🎢 Аттракционы  
- 🌅 Закат у моря

## Как добраться

- 🚠 Канатная дорога  
- 🚕 Такси  
- 🗺️ South Singapore

## 🔷 Коммуникация и сервис

- 🕒 Круглосуточно  
- 🌐 Английский  
- 📶 Интернет  
- 💳 Карты

## Полезные нюансы

- ⚠️ Многолюдно  
- 🌞 Лучше в будни  
- 👕 Пляжная одежда  
- 🐾 —

## Локальная ценность

Sentosa развивает индустрию развлечений и туризма.
",editorial
place,sgp-jewel-changi-airport,overview,ru,,"## Почему это важно?

- 🌟 Самый красивый аэропорт мира  
- 🌍 Архитектура и природа  
- 📸 Водопад Rain Vortex

## Билеты и посещение

- 💰 Бесплатно  
- 🎟️ Аттракционы — платно  
- 🆓 Основная зона

## Лучшие точки для фото

- 📷 Водопад  
- 📷 Купол  
- 🌅 Вечернюю подсветку

## Практическая информация

- **Адрес:** Changi Airport  
- **Сайт:** —  
- **Телефон:** —

## 🔵 Что обязательно посмотреть / попробовать

- 💦 Rain Vortex  
- 🛍 Шопинг  
- 📷 Фото купола

## Как добраться

- 🚇 MRT Changi  
- 🚶 Пешком  
- 🗺️ Changi

## 🔷 Коммуникация и сервис

- 🕒 Круглосуточно  
- 🌐 Английский  
- 📶 Интернет  
- 💳 Карты

## Полезные нюансы

- ⚠️ Многолюдно  
- 🌞 Лучше вечером  
- 👕 Casual  
- 🐾 —

## Локальная ценность

Jewel стал визитной карточкой инновационного подхода Сингапура к инфраструктуре.
",editorial
place,sgp-lau-pa-sat-hawker-centre,overview,ru,,"## Как добраться

- 🚇 MRT Raffles Place  
- 🚶 Пешком  
- 🗺️ CBD

## Полезные нюансы

- ⚠️ Очереди вечером  
- 🌞 Лучше ночью  
- 👕 Casual  
- 🐾 —

## Локальная ценность

Hawker-центры — основа гастрономической культуры Сингапура (UNESCO).

## Лучшие точки для фото

- 📷 Satay  
- 📷 Фудкорты  
- 🌅 Ночной рынок

## Практическая информация

- **Адрес:** Lau Pa Sat  
- **Сайт:** —  
- **Телефон:** —

## Почему это важно?

- 🌟 Лучший hawker-опыт  
- 🌍 Национальная кухня  
- 📸 Сатэ-стрит вечером

## 🔵 Что обязательно посмотреть / попробовать

- 🍢 Satay  
- 🍜 Локальные блюда  
- 🌃 Ночная атмосфера

## Билеты и посещение

- 💰 Бюджет–средний  
- 🎟️ —  
- 🆓 Вход свободный

## 🔷 Коммуникация и сервис

- 🕒 24/7  
- 🌐 Английский  
- 📶 Интернет  
- 💳 Наличные, карты
",editorial
place,sgp-atlas-rooftop-bar,overview,ru,,"## Как добраться

- 🚕 Такси  
- 🗺️ Bugis

## Полезные нюансы

- ⚠️ Строгий дресс-код  
- 🌞 Лучше вечером  
- 👕 Smart elegant  
- 🐾 —

## Локальная ценность

Atlas формирует имидж Сингапура как столицы luxury-лайфстайла.

## Лучшие точки для фото

- 📷 Интерьер  
- 📷 Коктейли  
- 🌅 Зал вечером

## Практическая информация

- **Адрес:** Bugis, Singapore  
- **Сайт:** —  
- **Телефон:** —

## Почему это важно?

- 🌟 Один из самых красивых баров Азии  
- 🌍 Архитектура и дизайн  
- 📸 Интерьер и коктейли

## 🔵 Что обязательно посмотреть / попробовать

- 🍸 Коктейли  
- 🏛 Интерьер  
- 🌅 Атмосферу вечера

## Билеты и посещение

- 💰 💎 Premium  
- 🎟️ Дресс-код  
- 🆓 —

## 🔷 Коммуникация и сервис

- 🕒 17:00–01:00  
- 🌐 Английский  
- 📶 Wi-Fi  
- 💳 Карты
",editorial
place,sgp-jumbo-seafood,overview,ru,,"## Как добраться

- 🚇 MRT Clarke Quay  
- 🚶 Пешком  
- 🗺️ Riverside

## Полезные нюансы

- ⚠️ Туристическое место  
- 🌞 Лучше бронировать  
- 👕 Casual chic  
- 🐾 —

## Локальная ценность

Ресторан поддерживает гастрономическую репутацию Сингапура.

## Лучшие точки для фото

- 📷 Краба  
- 📷 Подачу  
- 🌅 Вечерний берег

## Практическая информация

- **Адрес:** Clarke Quay  
- **Сайт:** —  
- **Телефон:** —

## Почему это важно?

- 🌟 Лучший чили-краб в городе  
- 🌍 Кулинарная визитка Сингапура  
- 📸 Подача морепродуктов

## 🔵 Что обязательно посмотреть / попробовать

- 🦀 Chili Crab  
- 🍤 Морепродукты  
- 🍚 Рис и соусы

## Билеты и посещение

- 💰 Средний–высокий чек  
- 🎟️ Очереди вечером  
- 🆓 —

## 🔷 Коммуникация и сервис

- 🕒 12:00–23:00  
- 🌐 Английский  
- 📶 Wi-Fi  
- 💳 Карты
",editorial
place,sgp-maxwell-food-centre,overview,ru,,"## Как добраться

- 🚇 MRT Tanjong Pagar  
- 🚶 Пешком  
- 🗺️ Chinatown / Maxwell Road

## Полезные нюансы

- ⚠️ Очереди в обед  
- 🌞 Лучше приходить рано  
- 👕 Casual  
- 🐾 —

## Локальная ценность

Hawker-центры — ядро повседневной гастрономии Сингапура и часть культурного наследия (в том числе UNESCO).

## Лучшие точки для фото

- 📷 Ряды киосков  
- 📷 Блюда  
- 🌅 Вечернюю атмосферу

## Практическая информация

- **Адрес:** Maxwell Food Centre, Singapore  
- **Сайт:** —  
- **Телефон:** —

## Почему это важно?

- 🌟 Подлинный hawker-опыт Сингапура  
- 🌍 Легендарные блюда “как едят местные”  
- 📸 Атмосфера рынка и фудкорта

## 🔵 Что обязательно посмотреть / попробовать

- 🍗 Chicken Rice  
- 🍜 Локальную лапшу/супы  
- 🥤 Холодные напитки и десерты

## Билеты и посещение

- 💰 Бюджетно  
- 🎟️ —  
- 🆓 Вход свободный

## 🔷 Коммуникация и сервис

- 🕒 08:00–22:00  
- 🌐 Английский  
- 📶 Интернет ограничен  
- 💳 Наличные (часто), иногда карты/QR
",editorial
