entity_type,entity_id,tab_key,lang,title,body_markdown,source
place,tag-chocolate-hills,overview,ru,,"## Почему это важно?

- 🌟 Один из самых узнаваемых пейзажей Филиппин  
- 🌍 Геологический объект национального значения  
- 📸 Панорамные виды «как на открытках»

## Структура комплекса

- 🏞️ Главную смотровую площадку в Кармене  
- 🏞️ Холмы в сухой сезон (февраль–май)  
- 🚶 Подъём по ступеням к панораме

## Билеты и посещение

- 💰 ~₱100  
- 🎟️ Билет на входе  
- 🆓 Прилегающие зоны без ограничений

## Лучшие точки для фото

- 📷 Панораму холмов  
- 📷 Вид с высоты  
- 🌅 Закатный свет

## Практическая информация

- **Адрес:** Carmen, Bohol

## Как добраться

- 🚕 Такси / аренда авто  
- 🚌 Экскурсионный автобус  
- 🗺️ Район Carmen, центральный Бохоль

## Коммуникация & сервис

- 🕒 8:00–17:00  
- 🌐 Английский  
- 🚻 Туалеты, лавки  
- 📶 Связь стабильная

## Полезные нюансы

- 🌞 Лучшее время — утро или закат  
- 👕 Головной убор обязателен  
- ⚠️ Жарко днём

## Локальная ценность

Шоколадные холмы — главный туристический бренд Бохоля и источник дохода для сельских районов острова.
",mixed
place,tag-philippine-tarsier-sanctuary,overview,ru,,"## Почему это важно?

- 🌟 Уникальные эндемики Филиппин  
- 🌍 Проект по сохранению биоразнообразия  
- 📸 Редкий шанс увидеть долгопятов в природе

## Структура комплекса

- 🏞️ Лесную тропу  
- 🏞️ Долгопятов в естественной среде  
- 🚶 Информационный центр

## Билеты и посещение

- 💰 ~₱100  
- 🎟️ Билет на входе  
- 🆓 Дети часто бесплатно

## Лучшие точки для фото

- 📷 Лесную тропу  
- 📷 Долгопята (без вспышки)  
- 🌅 Мягкий свет под кронами

## Практическая информация

- **Адрес:** Corella, Bohol

## Как добраться

- 🚕 Такси / экскурсия  
- 🗺️ Corella, Bohol

## Коммуникация & сервис

- 🕒 9:00–16:00  
- 🌐 Английский  
- 🚻 Туалеты  
- 📶 Связь слабая

## Полезные нюансы

- ⚠️ Запрещены вспышка и шум  
- 👕 Удобная обувь  
- 🐾 Трогать животных нельзя

## Локальная ценность

Заповедник — пример экологически ответственного туризма и гордость острова.
",mixed
place,tag-loboc-river-cruise,overview,ru,,"## Почему это важно?

- 🌟 Самый расслабляющий опыт Бохоля  
- 🌍 Знакомство с сельской культурой  
- 📸 Изумрудная река и пальмы

## Структура комплекса

- 🏞️ Речные пейзажи  
- 🏞️ Фольклорное выступление  
- 🚶 Остановку у деревенской сцены

## Билеты и посещение

- 💰 ~₱550  
- 🎟️ Билет включает обед  
- 🆓 Дети — со скидкой

## Лучшие точки для фото

- 📷 Реку с борта  
- 📷 Музыкантов  
- 🌅 Отражения пальм

## Практическая информация

- **Адрес:** Loboc River, Bohol

## Как добраться

- 🚕 Такси  
- 🗺️ Город Loboc

## Коммуникация & сервис

- 🕒 10:00–15:00  
- 🌐 Английский  
- 🚻 На борту  
- 📶 Связь ограниченная

## Полезные нюансы

- 🌞 Лучше дневные рейсы  
- 👕 Лёгкая одежда  
- ⚠️ Наличные для чаевых

## Локальная ценность

Круиз поддерживает местные общины и сохраняет традиционную музыку и танцы.
",mixed
place,tag-panglao-island-alona-beach,overview,ru,,"## Почему это важно?

- 🌟 Лучший пляжный отдых на Бохоле  
- 🌍 Центр дайвинга и сноркелинга  
- 📸 Бирюзовая вода и закаты

## Структура комплекса

- 🏞️ Пляж Алона  
- 🏞️ Лодочные туры к Balicasag  
- 🚶 Вечернюю набережную

## Билеты и посещение

- 💰 Бесплатно  
- 🎟️ Туры оплачиваются отдельно  
- 🆓 Общественный пляж

## Лучшие точки для фото

- 📷 Пляж  
- 📷 Лодки  
- 🌅 Закат

## Практическая информация

- **Адрес:** Alona Beach, Panglao Island

## Как добраться

- 🚕 Такси / трансфер  
- 🗺️ Остров Panglao

## Коммуникация & сервис

- 🕒 Круглосуточно  
- 🌐 Английский  
- 🚻 Кафе и сервисы  
- 📶 Отличная связь

## Полезные нюансы

- ⚠️ Цены выше среднего  
- 🌞 Лучшее купание утром  
- 👕 Beach casual

## Локальная ценность

Панглао — туристическое сердце Бохоля и ключевая точка международного турпотока.
",mixed
place,tag-bohol-bee-farm,overview,ru,,"## Что попробовать обязательно

- 🍽️ Garden Salad  
- 🍽️ Домашний хлеб  
- 🍹 Мёд и мороженое из моринги

## Цены

- 💰 ₱400–₱700  
- 🧾 À la carte  
- 🆓 Дегустации в магазине

## Как добраться

- 🚕 Такси  
- 🗺️ Panglao Island

## Коммуникация & сервис

- 🕒 7:30–21:00  
- 🌐 Английский  
- 📶 Wi-Fi  
- 💳 Cash / card

## Полезные нюансы

- ⚠️ Популярно — бронируйте  
- 🌞 Лучшее время — днём  
- 👕 Casual

## Локальная ценность

Bohol Bee Farm поддерживает местных фермеров и формирует экологичную гастрокультуру острова.

## Лучшие точки для фото

- 📷 Сады  
- 📷 Подачу блюд  
- 🌅 Террасу у моря

## Практическая информация

- **Адрес:** Dauis, Panglao Island

## Почему это важно?

- 🌟 Икона эко-гастрономии  
- 🌍 Локальные продукты и мёд  
- 📸 Вид на море и сады
",mixed
place,tag-gerarda-s-family-restaurant,overview,ru,,"## Что попробовать обязательно

- 🍽️ Pochero  
- 🍽️ Adobong Kangkong  
- 🍹 Кокосовые десерты

## Цены

- 💰 ₱300–₱600  
- 🧾 À la carte  
- 🆓 Большие порции

## Как добраться

- 🚕 Такси  
- 🗺️ Tagbilaran City

## Коммуникация & сервис

- 🕒 10:00–21:00  
- 🌐 Английский  
- 📶 Wi-Fi  
- 💳 Cash

## Полезные нюансы

- ⚠️ Популярен вечером  
- 🌞 Лучше к ужину  
- 👕 Casual

## Локальная ценность

Gerarda’s — хранитель семейных гастрономических традиций Бохоля.

## Лучшие точки для фото

- 📷 Интерьер  
- 📷 Блюда  
- 🌅 Вечерний зал

## Практическая информация

- **Адрес:** Tagbilaran City, Bohol

## Почему это важно?

- 🌟 Аутентичная локальная кухня  
- 🌍 Семейные рецепты  
- 📸 Домашняя атмосфера
",mixed
place,boracay-white-beach,overview,ru,,"## Почему это важно?

- 🌟 Один из самых известных пляжей планеты  
- 🌍 Туристическое и социальное сердце острова  
- 📸 Идеальные закаты и открытки «тропический рай»

## Структура комплекса

- 🏖️ Station 1 — самый просторный и спокойный участок  
- 🏖️ Station 2 — центр жизни, магазины и рестораны  
- 🚶 Вечерняя прогулка вдоль всего пляжа

## Билеты и посещение

- 💰 Бесплатно  
- 🎟️ Нет билетов  
- 🆓 Доступ открыт круглосуточно

## Лучшие точки для фото

- 📷 Белый песок крупным планом  
- 📷 Парусные лодки paraw  
- 🌅 Закаты над морем

## Практическая информация

- **Адрес:** White Beach, Boracay Island

## Как добраться

- 🚶 Пешком из любого района острова  
- 🚕 Трицикл из любой точки Боракая  
- 🗺️ Западное побережье острова

## Коммуникация & сервис

- 🕒 Круглосуточно  
- 🌐 Английский  
- 🚻 Души, туалеты, кафе  
- 📶 Отличная мобильная связь

## Полезные нюансы

- ⚠️ Многолюдно в высокий сезон  
- 🌞 Лучшее купание — утром  
- 👕 Купальник + защита от солнца  
- 🐾 Вечером возможны фаер-шоу

## Локальная ценность

White Beach — экономическая основа Боракая: именно он обеспечивает рабочие места, туристический поток и международную известность острова.
",mixed
place,boracay-puka-shell-beach,overview,ru,,"## Почему это важно?

- 🌟 Более дикий и спокойный Боракай  
- 🌍 Контраст с туристическим White Beach  
- 📸 Натуральные пейзажи и ракушки

## Структура комплекса

- 🏖️ Берег с ракушками пука  
- 🏞️ Тропическую рощу  
- 🚶 Прогулку вдоль пляжа

## Билеты и посещение

- 💰 Бесплатно  
- 🎟️ Нет билетов  
- 🆓 Доступ свободный

## Лучшие точки для фото

- 📷 Берег с ракушками  
- 📷 Волны и горизонт  
- 🌅 Утренний свет

## Практическая информация

- **Адрес:** Yapak, Boracay Island

## Как добраться

- 🚕 Трицикл (~15 мин от Station 2)  
- 🗺️ Север острова

## Коммуникация & сервис

- 🕒 Круглосуточно  
- 🌐 Английский  
- 🚻 Минимальная инфраструктура  
- 📶 Связь стабильная

## Полезные нюансы

- 🌞 Мало тени  
- 👕 Возьмите воду и головной убор  
- ⚠️ Волны сильнее, чем на White Beach

## Локальная ценность

Puka Beach — напоминание о «старом Боракае» до массового туризма и символ природного баланса острова.
",mixed
place,boracay-mount-luho-viewpoint,overview,ru,,"## Почему это важно?

- 🌟 Лучший обзор острова  
- 🌍 Географическая доминанта Боракая  
- 📸 Панорамные фотографии

## Структура комплекса

- 🏞️ Панораму White Beach  
- 🏞️ Вид на Bulabog Beach  
- 🚶 Прогулку по вершине

## Билеты и посещение

- 💰 ₱120–₱150  
- 🎟️ Билет на входе  
- 🆓 Детям часто бесплатно

## Лучшие точки для фото

- 📷 Панораму острова  
- 📷 Лагуны и пляжи  
- 🌅 Закатный свет

## Практическая информация

- **Адрес:** Mount Luho, Boracay

## Как добраться

- 🚕 Трицикл или байк  
- 🚶 Последний участок пешком  
- 🗺️ Центр острова

## Коммуникация & сервис

- 🕒 6:00–18:00  
- 🌐 Английский  
- 🚻 Минимальные удобства  
- 📶 Связь хорошая

## Полезные нюансы

- 🌞 Лучше утром или на закате  
- 👕 Лёгкая одежда  
- ⚠️ Жарко днём

## Локальная ценность

Mount Luho — ориентир и символ острова, позволяющий понять его компактность и географию.
",mixed
place,boracay-ariel-s-point,overview,ru,,"## Почему это важно?

- 🌟 Легендарный клифф-дайвинг  
- 🌍 Одно из самых адреналиновых мест Боракая  
- 📸 Прыжки над лазурной водой

## Структура комплекса

- 🏞️ Прыжковые платформы (3–15 м)  
- 🏞️ Скалы и лагуны  
- 🚶 Купание и сноркелинг

## Билеты и посещение

- 💰 ~₱2500  
- 🎟️ Только в составе тура  
- 🆓 Включены еда и напитки

## Лучшие точки для фото

- 📷 Прыжки со скал  
- 📷 Вид сверху  
- 🌅 Море и лодки

## Практическая информация

- **Адрес:** Off-shore Boracay

## Как добраться

- 🚤 Тур на лодке (~1 час)  
- 🗺️ Отправление с White Beach

## Коммуникация & сервис

- 🕒 Дневные туры  
- 🌐 Английский  
- 🚻 На лодке  
- 📶 Связь отсутствует

## Полезные нюансы

- ⚠️ Не для людей с боязнью высоты  
- 👕 Купальная обувь  
- 🌞 Лучше в хорошую погоду

## Локальная ценность

Ariel’s Point — визитная карточка приключенческого туризма Боракая и важный элемент его диверсификации.
",mixed
place,boracay-jonah-s-fruit-shake,overview,ru,,"## Что попробовать обязательно

- 🍽️ Mango Shake  
- 🍽️ Banana Peanut Shake  
- 🍹 Exotic Mix

## Цены

- 💰 ~₱150–₱200  
- 🧾 Напитки / лёгкие завтраки  
- 🆓 Большие порции

## Как добраться

- 🚶 Пешком по White Beach  
- 🗺️ Station 1

## Коммуникация & сервис

- 🕒 8:00–23:00  
- 🌐 Английский  
- 📶 Wi-Fi  
- 💳 Cash / card

## Полезные нюансы

- ⚠️ Очереди днём  
- 🌞 Лучшее время — утро  
- 👕 Beach casual

## Локальная ценность

Jonah’s — один из старейших брендов Боракая и обязательная гастрономическая точка для гостей острова.

## Лучшие точки для фото

- 📷 Шейк крупным планом  
- 📷 Пляж на фоне  
- 🌅 Утренний свет

## Практическая информация

- **Адрес:** Station 1, White Beach  
- **Instagram / Facebook:** [Jonah’s Fruit Shake](https://www.instagram.com/jonahsfruitshake/)

## Почему это важно?

- 🌟 Самые известные шейки острова  
- 🌍 Гастрономический символ пляжа  
- 📸 Яркая подача
",mixed
