entity_type,entity_id,tab_key,lang,title,body_markdown,source
place,bkk-grand-palace,overview,ru,,"## Почему это важно?

- 🌟 Главная достопримечательность страны и визитная карточка Бангкока  
- 🌍 Резиденция тайских королей и центр государственной истории  
- 📸 Богатая отделка, золотые шпили и мозаики

## Структура комплекса

- 🏛 Храм Изумрудного Будды (Wat Phra Kaew)  
- 🏛 Королевские залы и внутренние дворики  
- 🚶‍♂️ Прогулку по внешним и внутренним стенам комплекса

## Билеты и посещение

- 💰 ~500 THB  
- 🎟️ Билет приобретается на входе  
- 🆓 Бесплатно для детей до определённого роста

## Лучшие точки для фото

- 📷 Храм Изумрудного Будды  
- 📷 Детали мозаик и шпилей  
- 🌅 Внутренние дворики при утреннем свете

## Практическая информация

- **Адрес:** Na Phra Lan Rd, Phra Nakhon  
- **Сайт:** [https://www.royalgrandpalace.th](https://www.royalgrandpalace.th)  
- **Телефон:** —

## Как добраться

- 🚶 Пешком от района Rattanakosin  
- 🚕 Такси / Grab  
- 🚌 Автобусы к Sanam Luang  
- 🗺️ Ориентир: Wat Pho, река Чао Прайя

## Полезные нюансы

- ⚠️ Строгий дресс-код (закрытые плечи и колени)  
- 🌞 Лучше приходить утром  
- 👕 Лёгкая, но закрытая одежда  
- 🐾 Фото внутри некоторых зон запрещены

## Локальная ценность

Комплекс остаётся сакральным центром монархии и символом тайской идентичности, используемым для государственных церемоний.
",mixed
place,bkk-wat-arun,overview,ru,,"## Почему это важно?

- 🌟 Самый фотогеничный храм на реке  
- 🌍 Важный религиозный символ эпохи Тонбури  
- 📸 Идеальные виды на закат и город

## Структура комплекса

- 🛕 Центральную пагоду  
- 🚶 Подъём на террасы  
- 🚤 Вид с противоположного берега реки

## Билеты и посещение

- 💰 ~200 THB  
- 🎟️ Билет на входе  
- 🆓 Территория вокруг — бесплатно

## Лучшие точки для фото

- 📷 Главную точку/фасад  
- 📷 Детали (архитектура/интерьер/подача)  
- 🌅 Свет в золотой час (закат/рассвет)

## Практическая информация

- **Адрес:** по координатам (уточняется)  
- **Сайт / соцсети:** —  
- **Контакты:** —

## Как добраться

- 🚶 Пешком — если вы уже в центре/рядом  
- 🚕 Такси / Grab (самый удобный вариант)  
- 🚌 Общественный транспорт: уточняется  
- 🗺️ Ориентир: по координатам

## Полезные нюансы

- ⚠️ Проверьте актуальные правила/цены перед визитом  
- 🌞 Лучшее время: утро или ближе к закату  
- 👕 Удобная обувь; для храмов — закрытая одежда  
- 🐾 Соблюдайте правила поведения и чистоту

## Локальная ценность

Место заметно в городской жизни: сюда приходят за впечатлениями и локальным контекстом. Оно поддерживает туристическую экономику и помогает сохранять культурный/природный ландшафт района.
",mixed
place,bkk-wat-pho,overview,ru,,"## Почему это важно?

- 🌟 Огромная статуя Будды длиной 46 метров  
- 🌍 Центр традиционной медицины и массажа  
- 📸 Детализированные интерьеры

## Структура комплекса

- 🏛️ Главный объект/зона места  
- 🏞️ Второй ключевой участок/маршрут  
- 🚶 Короткая прогулка по территории с лучшими видами

## Билеты и посещение

- 💰 Уточняется (цены могут меняться)  
- 🎟️ Если есть туры/экскурсии — уточняйте на месте  
- 🆓 Бесплатные зоны/часы: уточняется

## Лучшие точки для фото

- 📷 Главную точку/фасад  
- 📷 Детали (архитектура/интерьер/подача)  
- 🌅 Свет в золотой час (закат/рассвет)

## Практическая информация

- **Адрес:** по координатам (уточняется)  
- **Сайт / соцсети:** —  
- **Контакты:** —

## Как добраться

- 🚶 Пешком — если вы уже в центре/рядом  
- 🚕 Такси / Grab (самый удобный вариант)  
- 🚌 Общественный транспорт: уточняется  
- 🗺️ Ориентир: по координатам

## Полезные нюансы

- ⚠️ Проверьте актуальные правила/цены перед визитом  
- 🌞 Лучшее время: утро или ближе к закату  
- 👕 Удобная обувь; для храмов — закрытая одежда  
- 🐾 Соблюдайте правила поведения и чистоту

## Локальная ценность

Место заметно в городской жизни: сюда приходят за впечатлениями и локальным контекстом. Оно поддерживает туристическую экономику и помогает сохранять культурный/природный ландшафт района.
",mixed
place,bkk-chatuchak-weekend-market,overview,ru,,"## Почему это важно?

- 🌟 Самый большой рынок Таиланда  
- 🌍 Центр локальной торговли и культуры  
- 📸 Яркий хаос и уличная жизнь

## Структура комплекса

- 🏛️ Главный объект/зона места  
- 🏞️ Второй ключевой участок/маршрут  
- 🚶 Короткая прогулка по территории с лучшими видами

## Билеты и посещение

- 💰 Уточняется (цены могут меняться)  
- 🎟️ Если есть туры/экскурсии — уточняйте на месте  
- 🆓 Бесплатные зоны/часы: уточняется

## Лучшие точки для фото

- 📷 Главную точку/фасад  
- 📷 Детали (архитектура/интерьер/подача)  
- 🌅 Свет в золотой час (закат/рассвет)

## Практическая информация

- **Адрес:** по координатам (уточняется)  
- **Сайт / соцсети:** —  
- **Контакты:** —

## Как добраться

- 🚶 Пешком — если вы уже в центре/рядом  
- 🚕 Такси / Grab (самый удобный вариант)  
- 🚌 Общественный транспорт: уточняется  
- 🗺️ Ориентир: по координатам

## Полезные нюансы

- ⚠️ Проверьте актуальные правила/цены перед визитом  
- 🌞 Лучшее время: утро или ближе к закату  
- 👕 Удобная обувь; для храмов — закрытая одежда  
- 🐾 Соблюдайте правила поведения и чистоту

## Локальная ценность

Место заметно в городской жизни: сюда приходят за впечатлениями и локальным контекстом. Оно поддерживает туристическую экономику и помогает сохранять культурный/природный ландшафт района.
",mixed
place,bkk-chinatown,overview,ru,,"## Почему это важно?

- 🌟 Лучшая street food-сцена Бангкока  
- 🌍 Исторический китайский квартал  
- 📸 Ночная атмосфера и неон

## Структура комплекса

- 🏛️ Главный объект/зона места  
- 🏞️ Второй ключевой участок/маршрут  
- 🚶 Короткая прогулка по территории с лучшими видами

## Билеты и посещение

- 💰 Уточняется (цены могут меняться)  
- 🎟️ Если есть туры/экскурсии — уточняйте на месте  
- 🆓 Бесплатные зоны/часы: уточняется

## Лучшие точки для фото

- 📷 Главную точку/фасад  
- 📷 Детали (архитектура/интерьер/подача)  
- 🌅 Свет в золотой час (закат/рассвет)

## Практическая информация

- **Адрес:** по координатам (уточняется)  
- **Сайт / соцсети:** —  
- **Контакты:** —

## Как добраться

- 🚶 Пешком — если вы уже в центре/рядом  
- 🚕 Такси / Grab (самый удобный вариант)  
- 🚌 Общественный транспорт: уточняется  
- 🗺️ Ориентир: по координатам

## Полезные нюансы

- ⚠️ Проверьте актуальные правила/цены перед визитом  
- 🌞 Лучшее время: утро или ближе к закату  
- 👕 Удобная обувь; для храмов — закрытая одежда  
- 🐾 Соблюдайте правила поведения и чистоту

## Локальная ценность

Место заметно в городской жизни: сюда приходят за впечатлениями и локальным контекстом. Оно поддерживает туристическую экономику и помогает сохранять культурный/природный ландшафт района.
",mixed
place,bkk-jay-fai,overview,ru,,"## Как добраться

- 🚶 Пешком — если вы уже в центре/рядом  
- 🚕 Такси / Grab (самый удобный вариант)  
- 🚌 Общественный транспорт: уточняется  
- 🗺️ Ориентир: по координатам

## Полезные нюансы

- ⚠️ Проверьте актуальные правила/цены перед визитом  
- 🌞 Лучшее время: утро или ближе к закату  
- 👕 Удобная обувь; для храмов — закрытая одежда  
- 🐾 Соблюдайте правила поведения и чистоту

## Локальная ценность

Место заметно в городской жизни: сюда приходят за впечатлениями и локальным контекстом. Оно поддерживает туристическую экономику и помогает сохранять культурный/природный ландшафт района.

## Лучшие точки для фото

- 📷 Главную точку/фасад  
- 📷 Детали (архитектура/интерьер/подача)  
- 🌅 Свет в золотой час (закат/рассвет)

## Практическая информация

- **Адрес:** по координатам (уточняется)  
- **Сайт / соцсети:** —  
- **Контакты:** —

## Почему это важно?

- 🌟 Единственный street food с Michelin Star  
- 🌍 Культовое место для гурманов  
- 📸 Готовка на открытом огне

## Структура комплекса

- 🍽️ Фирменное блюдо/напиток заведения  
- 🍽️ Ещё одна популярная позиция из меню  
- 🍽️ Попробовать сезонный/локальный специалитет (если есть)

## Билеты и посещение

- 💰 Уточняется (цены могут меняться)  
- 🎟️ Если есть туры/экскурсии — уточняйте на месте  
- 🆓 Бесплатные зоны/часы: уточняется
",mixed
place,bkk-blue-elephant-bangkok,overview,ru,,"## Как добраться

- 🚶 Пешком — если вы уже в центре/рядом  
- 🚕 Такси / Grab (самый удобный вариант)  
- 🚌 Общественный транспорт: уточняется  
- 🗺️ Ориентир: по координатам

## Полезные нюансы

- ⚠️ Проверьте актуальные правила/цены перед визитом  
- 🌞 Лучшее время: утро или ближе к закату  
- 👕 Удобная обувь; для храмов — закрытая одежда  
- 🐾 Соблюдайте правила поведения и чистоту

## Локальная ценность

Место заметно в городской жизни: сюда приходят за впечатлениями и локальным контекстом. Оно поддерживает туристическую экономику и помогает сохранять культурный/природный ландшафт района.

## Лучшие точки для фото

- 📷 Главную точку/фасад  
- 📷 Детали (архитектура/интерьер/подача)  
- 🌅 Свет в золотой час (закат/рассвет)

## Практическая информация

- **Адрес:** по координатам (уточняется)  
- **Сайт / соцсети:** —  
- **Контакты:** —

## Почему это важно?

- 🌟 Икона королевской тайской кухни  
- 🌍 Историческое здание  
- 📸 Элегантные интерьеры

## Структура комплекса

- 🍽️ Фирменное блюдо/напиток заведения  
- 🍽️ Ещё одна популярная позиция из меню  
- 🍽️ Попробовать сезонный/локальный специалитет (если есть)

## Билеты и посещение

- 💰 Уточняется (цены могут меняться)  
- 🎟️ Если есть туры/экскурсии — уточняйте на месте  
- 🆓 Бесплатные зоны/часы: уточняется
",mixed
place,bkk-vertigo-moon-bar,overview,ru,,"## Как добраться

- 🚶 Пешком — если вы уже в центре/рядом  
- 🚕 Такси / Grab (самый удобный вариант)  
- 🚌 Общественный транспорт: уточняется  
- 🗺️ Ориентир: по координатам

## Полезные нюансы

- ⚠️ Проверьте актуальные правила/цены перед визитом  
- 🌞 Лучшее время: утро или ближе к закату  
- 👕 Удобная обувь; для храмов — закрытая одежда  
- 🐾 Соблюдайте правила поведения и чистоту

## Локальная ценность

Место заметно в городской жизни: сюда приходят за впечатлениями и локальным контекстом. Оно поддерживает туристическую экономику и помогает сохранять культурный/природный ландшафт района.

## Лучшие точки для фото

- 📷 Главную точку/фасад  
- 📷 Детали (архитектура/интерьер/подача)  
- 🌅 Свет в золотой час (закат/рассвет)

## Практическая информация

- **Адрес:** по координатам (уточняется)  
- **Сайт / соцсети:** —  
- **Контакты:** —

## Почему это важно?

- 🌟 Один из лучших rooftop-баров Азии  
- 🌍 Вид на мегаполис с высоты  
- 📸 Ночные панорамы

## Структура комплекса

- 🍽️ Фирменное блюдо/напиток заведения  
- 🍽️ Ещё одна популярная позиция из меню  
- 🍽️ Попробовать сезонный/локальный специалитет (если есть)

## Билеты и посещение

- 💰 Уточняется (цены могут меняться)  
- 🎟️ Если есть туры/экскурсии — уточняйте на месте  
- 🆓 Бесплатные зоны/часы: уточняется
",mixed
place,bkk-iconsiam,overview,ru,,"## Почему это важно?

- 🌟 Самый современный молл Бангкока  
- 🌍 Сочетание традиций и люкса  
- 📸 Архитектура и вечерняя подсветка

## Структура комплекса

- 🏛️ Главный объект/зона места  
- 🏞️ Второй ключевой участок/маршрут  
- 🚶 Короткая прогулка по территории с лучшими видами

## Билеты и посещение

- 💰 Уточняется (цены могут меняться)  
- 🎟️ Если есть туры/экскурсии — уточняйте на месте  
- 🆓 Бесплатные зоны/часы: уточняется

## Лучшие точки для фото

- 📷 Главную точку/фасад  
- 📷 Детали (архитектура/интерьер/подача)  
- 🌅 Свет в золотой час (закат/рассвет)

## Практическая информация

- **Адрес:** по координатам (уточняется)  
- **Сайт / соцсети:** —  
- **Контакты:** —

## Как добраться

- 🚶 Пешком — если вы уже в центре/рядом  
- 🚕 Такси / Grab (самый удобный вариант)  
- 🚌 Общественный транспорт: уточняется  
- 🗺️ Ориентир: по координатам

## Полезные нюансы

- ⚠️ Проверьте актуальные правила/цены перед визитом  
- 🌞 Лучшее время: утро или ближе к закату  
- 👕 Удобная обувь; для храмов — закрытая одежда  
- 🐾 Соблюдайте правила поведения и чистоту

## Локальная ценность

Место заметно в городской жизни: сюда приходят за впечатлениями и локальным контекстом. Оно поддерживает туристическую экономику и помогает сохранять культурный/природный ландшафт района.
",mixed
place,bkk-asiatique-the-riverfront,overview,ru,,"## Почему это важно?

- 🌟 Атмосферный вечерний маршрут  
- 🌍 Реконструированный портовый район  
- 📸 Ночные огни и колесо обозрения

## Структура комплекса

- 🏛️ Главный объект/зона места  
- 🏞️ Второй ключевой участок/маршрут  
- 🚶 Короткая прогулка по территории с лучшими видами

## Билеты и посещение

- 💰 Уточняется (цены могут меняться)  
- 🎟️ Если есть туры/экскурсии — уточняйте на месте  
- 🆓 Бесплатные зоны/часы: уточняется

## Лучшие точки для фото

- 📷 Главную точку/фасад  
- 📷 Детали (архитектура/интерьер/подача)  
- 🌅 Свет в золотой час (закат/рассвет)

## Практическая информация

- **Адрес:** по координатам (уточняется)  
- **Сайт / соцсети:** —  
- **Контакты:** —

## Как добраться

- 🚶 Пешком — если вы уже в центре/рядом  
- 🚕 Такси / Grab (самый удобный вариант)  
- 🚌 Общественный транспорт: уточняется  
- 🗺️ Ориентир: по координатам

## Полезные нюансы

- ⚠️ Проверьте актуальные правила/цены перед визитом  
- 🌞 Лучшее время: утро или ближе к закату  
- 👕 Удобная обувь; для храмов — закрытая одежда  
- 🐾 Соблюдайте правила поведения и чистоту

## Локальная ценность

Место заметно в городской жизни: сюда приходят за впечатлениями и локальным контекстом. Оно поддерживает туристическую экономику и помогает сохранять культурный/природный ландшафт района.
",mixed
