listing_id,subtitle,supply_model,partner_id,rf_partner_id,pro_id,district_id,atlas_place_id,atlas_container_place_id,address_public_text,geo_precision,show_public_coordinates,max_guests,floor_text,view_type,summary_short,description_short,listing_mode,instant_use_possible,same_day_check_in,voucher_entry_mode,primary_cta_label,secondary_cta_label,trust_score_label,is_pro_verified,is_rf_verified,hero_media_id,cover_alt,is_active,sort_weight
rielt_phuket_kata_001,Проверенный вариант через RF + PRO,curated_rf_partner,partner_phuket_seabreeze,rf_partner_phuket_seabreeze,pro_phuket_anton,kata,atlas_place_kata,atlas_container_phuket,"Kata, Phuket",exact,true,2,2/4,garden,"Проверенный вариант для 1–2 гостей, 8 минут до пляжа.","Проверенный вариант для 1–2 гостей, 8 минут до пляжа.",short_term,true,true,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_phuket_kata_001_1,1BR в Кате рядом с пляжем,true,99
rielt_phuket_karon_002,Проверенный вариант через RF + PRO,curated_rf_partner,partner_phuket_karonnest,rf_partner_phuket_karonnest,pro_phuket_anton,karon,atlas_place_karon,atlas_container_phuket,"Karon, Phuket",exact,true,4,5/8,garden,"Спокойный вариант для семьи, рядом кафе и супермаркет.","Спокойный вариант для семьи, рядом кафе и супермаркет.",short_term,true,true,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_phuket_karon_002_1,Семейные апартаменты в Кароне,true,98
rielt_phuket_rawai_003,Проверенный вариант через RF + PRO,curated_rf_partner,partner_phuket_seabreeze,rf_partner_phuket_seabreeze,pro_phuket_anton,rawai,atlas_place_rawai,atlas_container_phuket,"Rawai, Phuket",district_only,false,2,2/4,garden,Бюджетный long-stay для зимовки и удалённой работы.,Бюджетный long-stay для зимовки и удалённой работы.,long_term,false,false,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_phuket_rawai_003_1,Студия в Раваи на месяц+,true,97
rielt_bkk_sathon_004,Проверенный вариант через RF + PRO,curated_rf_partner,partner_bkk_riverside,rf_partner_bkk_riverside,pro_bangkok_maya,sathon,atlas_place_sathon,atlas_container_bangkok,"Sathon, Bangkok",exact,true,2,5/8,city,Долгосрочная квартира для релокации в центре Бангкока.,Долгосрочная квартира для релокации в центре Бангкока.,long_term,false,false,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_bkk_sathon_004_1,1BR в Сатхоне с бассейном,true,96
rielt_bkk_ari_005,Проверенный вариант через RF + PRO,curated_rf_partner,partner_bkk_nomadloft,rf_partner_bkk_nomadloft,pro_bangkok_maya,ari,atlas_place_ari,atlas_container_bangkok,"Ari, Bangkok",exact,true,2,2/4,city,Дизайнерский лофт для 1–2 гостей и city stay.,Дизайнерский лофт для 1–2 гостей и city stay.,short_term,true,true,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_bkk_ari_005_1,Loft в районе Ari,true,95
rielt_bkk_ari_006,Проверенный вариант через RF + PRO,curated_rf_partner,partner_bkk_nomadloft,rf_partner_bkk_nomadloft,pro_bangkok_maya,ari,atlas_place_ari,atlas_container_bangkok,"Ari, Bangkok",district_only,false,2,5/8,city,Компактная студия на 1–3 месяца.,Компактная студия на 1–3 месяца.,long_term,false,false,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_bkk_ari_006_1,Nomad studio в Ari,true,94
rielt_danang_myan_007,Проверенный вариант через RF + PRO,curated_rf_partner,partner_danang_blueharbor,rf_partner_danang_blueharbor,pro_danang_ivan,my_an,atlas_place_my_an,atlas_container_da_nang,"My An, Da Nang",exact,true,2,2/4,garden,Светлый вариант возле моря для короткого отдыха.,Светлый вариант возле моря для короткого отдыха.,short_term,true,true,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_danang_myan_007_1,Апартаменты у пляжа My An,true,93
rielt_danang_myan_008,Проверенный вариант через RF + PRO,curated_rf_partner,partner_danang_blueharbor,rf_partner_danang_blueharbor,pro_danang_ivan,my_an,atlas_place_my_an,atlas_container_da_nang,"My An, Da Nang",exact,true,2,5/8,garden,Для зимовки и удалённой работы.,Для зимовки и удалённой работы.,long_term,false,false,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_danang_myan_008_1,Long-stay 1BR в Дананге,true,92
rielt_hcmc_d1_009,Проверенный вариант через RF + PRO,curated_rf_partner,partner_hcmc_saigonstay,rf_partner_hcmc_saigonstay,pro_hcmc_linh,district_1,atlas_place_district_1,atlas_container_ho_chi_minh_city,"District 1, Ho Chi Minh City",district_only,false,2,2/4,city,Компактный вариант в центре.,Компактный вариант в центре.,short_term,true,true,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_hcmc_d1_009_1,Студия в District 1,true,91
rielt_hcmc_d1_010,Проверенный вариант через RF + PRO,curated_rf_partner,partner_hcmc_saigonstay,rf_partner_hcmc_saigonstay,pro_hcmc_linh,district_1,atlas_place_district_1,atlas_container_ho_chi_minh_city,"District 1, Ho Chi Minh City",exact,true,2,5/8,city,Квартира на месяц+ рядом с центром.,Квартира на месяц+ рядом с центром.,long_term,false,false,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_hcmc_d1_010_1,1BR для тестовой релокации,true,90
