entity_type,entity_id,tab_key,lang,title,body_markdown,source
place,hue-imperial-city-hue,overview,ru,,"## Почему это важно?

- 🌟 Единственный вьетнамский императорский город, сохранившийся в таком масштабе  
- 🏯 Сердце политической и духовной жизни Вьетнама XIX–начала XX века  
- 📸 Впечатляющее сочетание дворцов, ворот, рвов и садов

## Структура комплекса

- 🏛️ Ворота Ngo Mon и площадь церемоний  
- 👑 Тронный зал Thai Hoa  
- 🧱 Запретный Пурпурный город (Forbidden Purple City)  
- 🌿 Императорские сады и павильоны

## Билеты и посещение

- 💰 Входной билет: ~150 000 VND  
- 🎟️ Доступен комбинированный билет с мавзолеями  
- ⏱️ Осмотр: минимум 2–3 часа

## Практические советы

- 🌞 Лучшее время — утро или поздний день  
- 👟 Территория большая — удобная обувь обязательна  
- ☂️ Летом берите воду и головной убор

## Историческая справка

Цитадель строилась с 1804 года при императоре Зя Лонге по принципам фэншуй и с ориентацией на Запретный город Пекина. Во время войны 1968 года комплекс сильно пострадал, и восстановление продолжается до сих пор.
",editorial
place,hue-perfume-river,overview,ru,,"## Почему это важно?

- 🌸 Символ романтического и спокойного Хюэ  
- 🚤 Основной маршрут лодочных прогулок  
- 🌅 Лучшие закаты города

## Структура комплекса

- 🌉 Вид на мост Truong Tien  
- 🚣 Прогулку на «драконьей лодке»  
- 🎶 Вечерние концерты традиционной музыки на воде

## Билеты и посещение

- 💰 Прогулка на лодке: ~100 000–150 000 VND  
- 🆓 Пешие прогулки по набережной — бесплатно

## Практические советы

- 🌇 Особенно красиво вечером  
- 📷 Отличное место для фото без толп  
- 🧘 Подходит для спокойных прогулок

## Историческая справка

Название реки связано с ароматами трав и цветов, которые раньше смывались в воду с горных склонов. Река веками служила транспортной и ритуальной артерией императорской столицы.
",editorial
place,hue-thien-mu-pagoda,overview,ru,,"## Почему это важно?

- 🛕 Один из духовных символов Центрального Вьетнама  
- 🌊 Красивое расположение у реки  
- 📸 Иконическая семиярусная башня

## Структура комплекса

- 🗼 Башню Phuoc Duyen  
- 🔔 Огромный бронзовый колокол  
- 🚗 Автомобиль монаха Тхить Куанг Дыка

## Билеты и посещение

- 🆓 Вход бесплатный  
- ⏱️ Осмотр: 30–60 минут

## Практические советы

- 👕 Скромная одежда обязательна  
- 🧘 Тихое и действующее религиозное место  
- 🚤 Можно совместить с лодочной прогулкой

## Историческая справка

Пагода основана в 1601 году и связана с буддийским движением протеста 1960-х годов. Отсюда происходил монах Тхить Куанг Дык, совершивший самосожжение в Сайгоне.
",editorial
place,hue-truong-tien-bridge,overview,ru,,"## Почему это важно?

- 🌉 Архитектурный символ города  
- 🌈 Эффектная ночная подсветка  
- 📸 Классический вид Хюэ

## Структура комплекса

- 🌃 Мост вечером с подсветкой  
- 🚶 Пешую прогулку по мосту  
- 📷 Панораму реки и набережных

## Билеты и посещение

- 🆓 Бесплатно, круглосуточно

## Практические советы

- 🌇 Лучшее время — после заката  
- 🚴 Удобен для пеших и велопрогулок

## Историческая справка

Построен в конце XIX века французами, мост пережил тайфуны, войны и реконструкции и стал неотъемлемой частью городского пейзажа.
",editorial
place,hue-ngu-binh-viewpoint,overview,ru,,"## Почему это важно?

- 🏞️ Панорамный вид на город и реку  
- 🌄 Популярное место рассветов и закатов  
- 🧘 Тихая природная атмосфера

## Структура комплекса

- 🌅 Панораму Хюэ с вершины  
- 🌲 Сосновые тропы  
- 📷 Вид на цитадель и равнины

## Билеты и посещение

- 🆓 Бесплатно  
- ⏱️ Подъём: 15–20 минут пешком

## Практические советы

- 🌞 Лучше приходить рано утром или вечером  
- 💧 Возьмите воду  
- 👟 Удобная обувь

## Историческая справка

Гора играла ключевую роль в фэншуй-планировке императорского Хюэ и вместе с Парфюмной рекой формировала «идеальный» ландшафт столицы.
",editorial
place,hue-tu-hieu-pagoda,overview,ru,,"## Почему это важно?

- 🧘 Одно из самых спокойных и медитативных мест региона  
- 🌲 Расположена в сосновом лесу вдали от туристической суеты  
- 🕊️ Важный духовный центр современного буддизма

## Структура комплекса

- 🛕 Главный храмовый зал  
- 🌿 Лотосовый пруд и сосновые аллеи  
- 🪦 Кладбище евнухов династии Нгуен

## Билеты и посещение

- 🆓 Вход бесплатный  
- ⏱️ Осмотр: 45–90 минут

## Практические советы

- 👕 Скромная одежда обязательна  
- 🤫 Соблюдайте тишину — действующий монастырь  
- 🚕 Удобнее добираться на байке или такси

## Историческая справка

Пагода возникла в XIX веке как келья монаха, ухаживавшего за матерью. Позднее стала значимым центром буддийского образования и практики; здесь провёл последние годы жизни Тхить Нят Хань.
",editorial
place,hue-nam-giao-altar,overview,ru,,"## Почему это важно?

- 🏯 Уникальный государственный культовый объект  
- 🧭 Редкий пример императорской ритуальной архитектуры  
- 🌳 Просторный комплекс в сосновом лесу

## Структура комплекса

- 🟦 Трёхъярусный алтарь Nam Giao  
- 🌲 Императорский лес вокруг комплекса  
- 🏛️ Остатки ритуальных павильонов

## Билеты и посещение

- 💰 Входной билет: ~50 000 VND  
- ⏱️ Осмотр: 45–60 минут

## Практические советы

- 🌞 Лучше посещать утром или ближе к вечеру  
- 👟 Территория большая — удобная обувь  
- 📷 Хорошо подходит для спокойных прогулок

## Историческая справка

Алтарь построен в 1806 году и использовался для важнейших императорских церемоний вплоть до 1945 года. Сегодня входит в комплекс памятников Хюэ под охраной ЮНЕСКО.
",editorial
place,hue-vong-canh-hill,overview,ru,,"## Почему это важно?

- 🌄 Одно из лучших мест для заката в Хюэ  
- 🌲 Тихая природная атмосфера  
- 📸 Отличная точка для фотосъёмки

## Структура комплекса

- 🌅 Вид на излучину реки Хыонг  
- 🌳 Сосновые склоны и тропы  
- 🪦 Гробницы императоров в окрестностях

## Билеты и посещение

- 🆓 Вход свободный  
- ⏱️ Осмотр: 30–45 минут

## Практические советы

- 🌞 Лучшее время — рассвет или закат  
- 🧺 Подходит для пикника  
- 🚕 Удобнее ехать на байке

## Историческая справка

Холм служил излюбленным местом отдыха императоров династии Нгуен, а в XX веке использовался как наблюдательный пункт.
",editorial
place,hue-tam-giang-lagoon,overview,ru,,"## Почему это важно?

- 🌅 Одни из самых красивых закатов региона  
- 🎣 Аутентичная жизнь рыбацких деревень  
- 📸 Широкие открытые пейзажи

## Структура комплекса

- 🚤 Лодочные прогулки по лагуне  
- 🛶 Рыбацкие ловушки и дома на воде  
- 🌄 Закат над водой

## Билеты и посещение

- 💰 Лодочная прогулка: ~100 000–200 000 VND  
- 🆓 Свободный доступ к берегам

## Практические советы

- 🌞 Лучше приезжать ближе к вечеру  
- 📷 Отлично для фототуров  
- 🚗 Удобнее добираться на машине или байке

## Историческая справка

Лагуна образована в месте слияния рек Хыонг, Бо и О-Лау и на протяжении веков была важным источником рыбы и соли для региона.
",editorial
place,hue-bach-ma-national-park,overview,ru,,"## Почему это важно?

- 🌳 Прохлада и зелень в жарком климате  
- 💦 Впечатляющие водопады и леса  
- 🥾 Отличные маршруты для треккинга

## Структура комплекса

- 🌄 Смотровую площадку Hai Vong Dai  
- 💦 Водопад Do Quyen  
- 🏞️ Озёра Ngu Ho

## Билеты и посещение

- 💰 Входной билет: ~60 000 VND  
- ⏱️ Осмотр: полдня или полный день

## Практические советы

- 🌦️ Погода меняется быстро — берите куртку  
- 🥾 Обувь для треккинга обязательна  
- 🚙 Часть маршрутов доступна только с транспортом

## Историческая справка

В начале XX века французские колонисты использовали плато Бах Ма как горный курорт. Сегодня это одна из самых биологически разнообразных зон Центрального Вьетнама.
",editorial
